city,direction,centre_grid,cells,regime,horizon_h,model,threshold,rows,rain_rate,roc_auc,pr_auc,norm_ap,brier,precision,recall,f1
Kanchanaburi,West,195,9,all,1,lightgbm,0.6500000000000001,22053,0.15149866231351744,0.9401592935222907,0.7677542369440475,0.7262870985104254,0.08545587627840479,0.6575305291723202,0.7252319664771026,0.6897238827213208
Kanchanaburi,West,195,9,dry (Mar-Apr),2,lightgbm,0.6000000000000002,9999,0.038103810381038106,0.9155817859012166,0.4365094180142344,0.4141877386904064,0.0416922737346405,0.47540983606557374,0.4566929133858268,0.46586345381526106
Kanchanaburi,West,195,9,wet (May-Jun),2,lightgbm,0.6000000000000002,12054,0.3478513356562137,0.8789243635231063,0.8083267616098334,0.706089655825586,0.1551653046912036,0.6790047295907876,0.7875029811590747,0.7292402826855123
Kanchanaburi,West,195,9,all,2,lightgbm,0.6000000000000002,22053,0.2074094227542738,0.9239010105273934,0.7833521482121749,0.7266585573844667,0.10371575875483782,0.6647542551157009,0.7599475295146481,0.709170662042232
Kanchanaburi,West,195,9,dry (Mar-Apr),3,hist_gradient_boosting,0.40000000000000013,9999,0.0521052105210521,0.8907296784674399,0.4122434115971183,0.37993478292462396,0.04128060563297987,0.4585987261146497,0.4145873320537428,0.43548387096774194
Kanchanaburi,West,195,9,wet (May-Jun),3,hist_gradient_boosting,0.40000000000000013,12054,0.4179525468724075,0.8652700423191951,0.8253746541819545,0.6999809124158038,0.14541843448524203,0.7199207492795389,0.7933703850734418,0.7548630783758262
Kanchanaburi,West,195,9,all,3,hist_gradient_boosting,0.40000000000000013,22053,0.2520745476805877,0.9137943678266146,0.7948486554016805,0.7257061596685619,0.0982015410605937,0.6994853063257512,0.7578701205252744,0.7275082023830081
Kanchanaburi,West,195,9,dry (Mar-Apr),6,hist_gradient_boosting,0.40000000000000013,9999,0.09070907090709071,0.8511594815898829,0.42420490831770796,0.3667647248425827,0.07292539050516544,0.4080357142857143,0.503858875413451,0.4509126788357178
Kanchanaburi,West,195,9,wet (May-Jun),6,hist_gradient_boosting,0.40000000000000013,12054,0.5725900116144018,0.8533308375824094,0.8832012535224966,0.7267290197904064,0.15447627397747077,0.781803649926735,0.850333236742973,0.8146297452980776
Kanchanaburi,West,195,9,all,6,hist_gradient_boosting,0.40000000000000013,22053,0.3541014827914569,0.9036363258445484,0.8447536937262656,0.7596428817569036,0.1175004754992782,0.7332792395966152,0.8100909207324881,0.7697736675590168
Hat Yai,South,32,7,dry (Mar-Apr),1,lightgbm,0.6500000000000001,7777,0.11996913977111998,0.919512823837686,0.6401490490424934,0.5910928045592447,0.09070054014283434,0.5801312089971884,0.6634512325830654,0.619
Hat Yai,South,32,7,wet (May-Jun),1,lightgbm,0.6500000000000001,9368,0.32365499573014517,0.9141890437188506,0.8467204513872244,0.7733707684020704,0.1402264551053449,0.7166952544311035,0.8268469656992085,0.7678407350689127
Hat Yai,South,32,7,all,1,lightgbm,0.6500000000000001,17145,0.23126275882181394,0.9245306140412984,0.8069277677850919,0.7488449604457815,0.11776141919613263,0.6847754654983571,0.7883984867591425,0.7329425556858148
Hat Yai,South,32,7,dry (Mar-Apr),2,lightgbm,0.6000000000000002,7777,0.1723029445801723,0.8966177346914641,0.6763384864245097,0.608961380910892,0.11382603885186222,0.607190412782956,0.6805970149253732,0.6418015482054891
Hat Yai,South,32,7,wet (May-Jun),2,lightgbm,0.6000000000000002,9368,0.41417591801878734,0.8893617940548826,0.8593939173323855,0.7599858268166523,0.15119826689682198,0.7278850471486304,0.8355670103092784,0.7780177585793137
Hat Yai,South,32,7,all,2,lightgbm,0.6000000000000002,17145,0.30446194225721784,0.9023288593299438,0.8197470244812235,0.7408438351975326,0.13424616322195163,0.6974479516453996,0.7957854406130268,0.7433786685755189
Hat Yai,South,32,7,dry (Mar-Apr),3,hist_gradient_boosting,0.40000000000000013,7777,0.21563584929921564,0.8728835645229089,0.6875015110113604,0.6015900411697295,0.10917674855765234,0.6156736446591519,0.6839594514013119,0.6480225988700565
Hat Yai,South,32,7,wet (May-Jun),3,hist_gradient_boosting,0.40000000000000013,9368,0.48526900085397096,0.8826246491233992,0.8827540322058482,0.7722189493372846,0.13785432077948845,0.7649649649649649,0.8405191377034756,0.8009642595115816
Hat Yai,South,32,7,all,3,hist_gradient_boosting,0.40000000000000013,17145,0.362962962962963,0.8911031675883949,0.8393514608576278,0.7478191536718575,0.12484612718548323,0.7244094488188977,0.79832878033103,0.759574956043116
Hat Yai,South,32,7,dry (Mar-Apr),6,hist_gradient_boosting,0.40000000000000013,7777,0.3195319531953195,0.8431365213199074,0.7381052181968552,0.6151255256834737,0.14740594598668022,0.5957781978575929,0.7609657947686117,0.6683159568828415
Hat Yai,South,32,7,wet (May-Jun),6,hist_gradient_boosting,0.40000000000000013,9368,0.6372758326216909,0.8557335924275093,0.9127983274430336,0.7595923282773215,0.14876457194171883,0.8206155819172812,0.8574539363484087,0.8386304062909568
Hat Yai,South,32,7,all,6,hist_gradient_boosting,0.40000000000000013,17145,0.4931466899970837,0.8659368796695971,0.8697011270770655,0.7429258715461782,0.1481482969897016,0.7447938801529962,0.8290952099349498,0.7846868528572228
Bangkok,Central,183,9,dry (Mar-Apr),1,lightgbm,0.6500000000000001,9999,0.0745074507450745,0.9026053670968333,0.48887998231124036,0.4477318935735997,0.0781256982368871,0.4497663551401869,0.5167785234899329,0.48094940662086194
Bangkok,Central,183,9,wet (May-Jun),1,lightgbm,0.6500000000000001,12066,0.3285264379247472,0.8795148997108262,0.79965553650224,0.7016346215053108,0.16002352513391777,0.6764639892304241,0.7605953582240161,0.7160669754185963
Bangkok,Central,183,9,all,1,lightgbm,0.6500000000000001,22065,0.21341491049172898,0.9076789058684436,0.758466830181108,0.6929344669247608,0.1229106145903687,0.639939770374553,0.7220216606498195,0.6785072839752544
Bangkok,Central,183,9,dry (Mar-Apr),2,lightgbm,0.6000000000000002,9999,0.11541154115411541,0.8559922328803493,0.47561709465438123,0.4072012808874119,0.10853534615160244,0.45076923076923076,0.5077989601386482,0.47758761206193967
Bangkok,Central,183,9,wet (May-Jun),2,lightgbm,0.6000000000000002,12066,0.42880822144869885,0.8440386561586001,0.8145344322937296,0.6753007051735549,0.1795351463653446,0.689503881201485,0.7897178198685736,0.7362162162162162
Bangkok,Central,183,9,all,2,lightgbm,0.6000000000000002,22065,0.2867890324042601,0.8766756551491501,0.7645704943896837,0.6699020117372035,0.14736079774367186,0.6465541101577637,0.7383059418457648,0.6893905858049284
Bangkok,Central,183,9,dry (Mar-Apr),3,hist_gradient_boosting,0.40000000000000013,9999,0.15231523152315232,0.8260300529524172,0.48395747680892415,0.3912329885101973,0.10630285908781271,0.46616541353383456,0.5292186474064347,0.4956949569495695
Bangkok,Central,183,9,wet (May-Jun),3,hist_gradient_boosting,0.40000000000000013,12066,0.5047240179015415,0.8243047175016431,0.8338059694349322,0.6644415708169163,0.1712363418539212,0.7290974947177784,0.7932676518883416,0.7598301352626612
Bangkok,Central,183,9,all,3,hist_gradient_boosting,0.40000000000000013,22065,0.34502605937004305,0.8582142804296802,0.7774393098953011,0.660199167785761,0.14181101241008168,0.6746858168761221,0.7404439774070669,0.7060370741482966
Bangkok,Central,183,9,dry (Mar-Apr),6,hist_gradient_boosting,0.40000000000000013,9999,0.24832483248324833,0.7609848620432673,0.5271055706218323,0.3708792709749469,0.16510302284716907,0.4607379375591296,0.5884011276681433,0.516802263883976
Bangkok,Central,183,9,wet (May-Jun),6,hist_gradient_boosting,0.40000000000000013,12066,0.6681584617934693,0.7936686236115658,0.8882272074646244,0.6631741971199194,0.17739297119780942,0.7917555081734187,0.8290746712974448,0.8099854580707707
Bangkok,Central,183,9,all,6,hist_gradient_boosting,0.40000000000000013,22065,0.477906186267845,0.8241623696064486,0.8213595923705628,0.6578384900743461,0.1718236445013194,0.7013691552570396,0.7724039829302988,0.735174654752234
