rain_threshold,strong_threshold,macro_f1,moderate_or_heavy_precision,moderate_or_heavy_recall,moderate_or_heavy_f1,moderate_or_heavy_f2,horizon_h
0.25,0.69,0.5643403808469293,0.2784635224760501,0.3417363780239656,0.30687239874124456,0.32688148788927335,1
0.25,0.7099999999999999,0.563309349809886,0.2978888029180944,0.30465747230386614,0.3012351198792824,0.3032792419706961,1
0.25,0.7299999999999999,0.5624471182582278,0.3241573788102592,0.2728917024643907,0.296323574541214,0.2818052345263945,1
0.25,0.7499999999999999,0.5598953533762526,0.3522333937695731,0.2415781144019896,0.2865955877422383,0.25777423946346284,1
0.3,0.01,0.3072897979918821,0.04927536231884058,0.949355640967669,0.09368794484482028,0.2040191629335225,1
0.3,0.03,0.334772130118572,0.05262695263448691,0.9475469138593715,0.09971567589431232,0.21530289330922242,1
0.3,0.049999999999999996,0.35799672095232976,0.055965514231422604,0.9422337779787474,0.10565545041419218,0.22610747904402786,1
0.3,0.06999999999999999,0.37853168722088143,0.059351885729863905,0.9352249604340945,0.11162006273821971,0.23667843431193608,1
0.3,0.08999999999999998,0.396803710485597,0.0628847508498974,0.9284422337779787,0.11779132305485837,0.2473974022218474,1
0.3,0.10999999999999997,0.413078092541779,0.06635600055398502,0.9207551435677143,0.12379077914478734,0.25753963485970494,1
0.3,0.12999999999999998,0.4265585631818986,0.06991470440665064,0.9136332805787927,0.1298897496062486,0.2676477990753865,1
0.3,0.15,0.43808278642461773,0.07327471600546442,0.903459190594619,0.13555527286604757,0.27662976885215257,1
0.3,0.16999999999999998,0.44829282901093315,0.07678949104526844,0.8947546913859371,0.14144031451036454,0.28582674890580534,1
0.3,0.18999999999999997,0.45717913769019686,0.08016167750671946,0.8833371015148089,0.14698468831119973,0.2940645180713823,1
0.3,0.20999999999999996,0.4652712449319038,0.08363008642028923,0.8707890572009948,0.1526041563484359,0.30209738650268253,1
0.3,0.22999999999999998,0.4729054912988709,0.0873802045582669,0.8585801492199865,0.15861744896360883,0.3104993336222333,1
0.3,0.24999999999999997,0.47957922548582294,0.09094120369806448,0.8439972869093375,0.1641907568476958,0.31775350907806366,1
0.3,0.26999999999999996,0.4857580604268252,0.09474389882295306,0.8307709699299118,0.17009014847303067,0.3253180582730565,1
0.3,0.29,0.4917943187629505,0.09854663893146486,0.8140402441781596,0.17580995629776117,0.33197794497307664,1
0.3,0.30999999999999994,0.4976432536939613,0.10270105073201967,0.7977617002034818,0.18197524497163486,0.3389594420642087,1
0.3,0.32999999999999996,0.5028637431187006,0.10679702048417132,0.7779787474564775,0.18781213328603008,0.34470668376342367,1
0.3,0.35,0.5081908556155703,0.11134286849423917,0.7603436581505766,0.1942414878562971,0.35107315851010523,1
0.3,0.36999999999999994,0.5131656421647487,0.1160857956253426,0.7421433416233326,0.2007675958347987,0.3570379716545025,1
0.3,0.38999999999999996,0.5183856195183684,0.1215231662429325,0.7240560705403573,0.20811671432284898,0.36354864343285276,1
0.3,0.4099999999999999,0.5234123237617413,0.12715666680262674,0.7048383450146959,0.21544574982722875,0.3692932786846407,1
0.3,0.42999999999999994,0.528736239055577,0.13377226785281748,0.6867510739317205,0.2239259846292781,0.37594217607089375,1
0.3,0.44999999999999996,0.5335156950171405,0.14017378883466253,0.6656115758534931,0.23157853336217576,0.38041582136996216,1
0.3,0.4699999999999999,0.5380485107427962,0.14705275643339694,0.6446981686638028,0.23948097757621567,0.38447536607070626,1
0.3,0.48999999999999994,0.5425700133764296,0.15446880269814503,0.6212977617002035,0.24742268041237114,0.3872385998534468,1
0.3,0.5099999999999999,0.5471284160883271,0.16252149349054287,0.5983495365136785,0.2556140435601487,0.38946609371320934,1
0.3,0.5299999999999999,0.5516276766208009,0.1711556635614959,0.5732534478860501,0.26360659146436555,0.39000492216821514,1
0.3,0.5499999999999999,0.5559908817932956,0.1807768366851983,0.5477051774813475,0.271832131736191,0.3895633995336496,1
0.3,0.57,0.5602185317355569,0.19102521566025216,0.5206873163011531,0.2795072516536198,0.3870848460400699,1
0.3,0.59,0.5645723306236952,0.20318373787534227,0.49491295500791316,0.28809265291349984,0.3845005357362421,1
0.3,0.6099999999999999,0.5685141351527215,0.21597787518263412,0.46789509382771877,0.2955373081042485,0.3793906284373395,1
0.3,0.6299999999999999,0.5724652243706013,0.23134018169942402,0.4404250508704499,0.3033441040214895,0.37300143609382475,1
0.3,0.6499999999999999,0.5752939416832612,0.2472993299603446,0.40888537191951163,0.3081970006816633,0.3616276744651069,1
0.3,0.6699999999999999,0.5768360325048253,0.2634045595361029,0.37485869319466425,0.3094005131793795,0.3456110728951702,1
0.3,0.69,0.577365756988759,0.28102564102564104,0.34071896902554827,0.308006744673241,0.3268342406037867,1
0.3,0.7099999999999999,0.5762874215214018,0.3003798033958892,0.3039791996382546,0.30216878300932687,0.30325243594370266,1
0.3,0.7299999999999999,0.5753110150133791,0.3260722500338249,0.2724395206873163,0.29685286690891177,0.28170660432495614,1
0.3,0.7499999999999999,0.5726824923227326,0.35402489626556016,0.24112593262491522,0.2868670566875126,0.2575527059334927,1
0.35,0.01,0.3140179025758157,0.05152942195709079,0.9413294144245987,0.09771008489641698,0.21136556317614388,1
0.35,0.03,0.3408928855978976,0.054819730089838134,0.9395206873163011,0.1035948445641064,0.2222311353548318,1
0.35,0.049999999999999996,0.3641417541606296,0.05812653385557673,0.9344336423242143,0.1094450292281517,0.2327257574989724,1
0.35,0.06999999999999999,0.38503957598490995,0.06154803776726187,0.9277639611123671,0.11543790307267088,0.24320351810913488,1
0.35,0.08999999999999998,0.4036154304573991,0.06512947570332481,0.9212073253447886,0.12165773405192362,0.2538566017046305,1
0.35,0.10999999999999997,0.4203061075613827,0.06865877075226427,0.9135202351345241,0.12771842205082817,0.2639435074012621,1
0.35,0.12999999999999998,0.43412906814491764,0.07227786141184318,0.9063983721456025,0.13387989547416493,0.27399413601973793,1
0.35,0.15,0.4460289262085461,0.0756930655261952,0.8963373276056975,0.13959752812549517,0.2829037506422333,1
0.35,0.16999999999999998,0.45656182991501576,0.07925918449737586,0.8877458738412842,0.14552563793710505,0.29201124464540695,1
0.35,0.18999999999999997,0.4657373387724711,0.08266515972192605,0.8764413294144247,0.15108053861293527,0.3001037376521228,1
0.35,0.20999999999999996,0.4741493672611963,0.08625200153356938,0.8646846032104906,0.15685751784103028,0.3082633437041575,1
0.35,0.22999999999999998,0.48204345496009243,0.09007223449346308,0.852814831562288,0.1629356054470254,0.3166049740219407,1
0.35,0.24999999999999997,0.48894683800475663,0.0937223584118881,0.8384580601401763,0.16859883615202764,0.3238242433768185,1
0.35,0.26999999999999996,0.4953472739181173,0.09758541897724388,0.8255708794935565,0.1745396317053643,0.33128895582511503,1
0.35,0.29,0.5015710857477716,0.10142134425439653,0.8090662446303414,0.18024756651933563,0.33775046955668186,1
0.35,0.30999999999999994,0.5075625514201242,0.10559109037549853,0.7931268369884694,0.18637021689179317,0.3444991112551435,1
0.35,0.32999999999999996,0.5129756566940217,0.10979989738327348,0.7741352023513453,0.19232173449040918,0.350274163188477,1
0.35,0.35,0.5183993672866736,0.11440533151059466,0.7568392493782501,0.19876495561559243,0.35648108706764353,1
0.35,0.36999999999999994,0.523500126298644,0.11920614363109028,0.7387519782952747,0.20528688331474704,0.3622304750291004,1
0.35,0.38999999999999996,0.5288033449245165,0.12469442434435687,0.720777752656568,0.2126077460444489,0.368482494769814,1
0.35,0.4099999999999999,0.5338909486729534,0.13032797211607106,0.7016730725751752,0.2198257543561411,0.3738706179978316,1
0.35,0.42999999999999994,0.5392557483391008,0.13685020481136986,0.6835858014921998,0.2280466879113005,0.37997511656256683,1
0.35,0.44999999999999996,0.5440850625145882,0.14322375656849567,0.6624463034139724,0.2355258133879946,0.3840155178966959,1
0.35,0.4699999999999999,0.54866597066428,0.15010179529890802,0.6417589871128193,0.2432982621552703,0.38774673861075065,1
0.35,0.48999999999999994,0.5532137144461152,0.1575084194467632,0.6185846710377572,0.2510840388189139,0.3901604278074866,1
0.35,0.5099999999999999,0.5577628106943173,0.16555168189955716,0.5958625367397694,0.2591126950964729,0.3920533150856106,1
0.35,0.5299999999999999,0.5622571714267736,0.17415749715428927,0.5707664481121411,0.2668816238073843,0.39215533980582523,1
0.35,0.5499999999999999,0.5666663926837506,0.1839027920618596,0.5457834049287814,0.27510755292173567,0.3916478738420105,1
0.35,0.57,0.5708863315964434,0.194202285230639,0.518765543748587,0.2826086956521739,0.3888060460229775,1
0.35,0.59,0.5752157684314982,0.20637623575043754,0.49321727334388427,0.2909927635308634,0.3859354268022999,1
0.35,0.6099999999999999,0.5791676832511685,0.2192763402582222,0.46653854849649556,0.2983337550149998,0.3806844387049165,1
0.35,0.6299999999999999,0.5831006534038486,0.23459472508902166,0.4394076418720326,0.3058823529411765,0.3740881181067503,1
0.35,0.6499999999999999,0.5858489578011473,0.2504684572142411,0.4079810083653629,0.3103848634702215,0.36240033739682287,1
0.35,0.6699999999999999,0.5872516533280044,0.2663231623862813,0.3739543296405155,0.3110923026284855,0.3459889132935885,1
0.35,0.69,0.5876395225926443,0.2836116614774979,0.3398146054713995,0.30917973772177937,0.3268599264945741,1
0.35,0.7099999999999999,0.5864224134126792,0.30246983196120447,0.3031878815283744,0.3028284310958053,0.3030439990056722,1
0.35,0.7299999999999999,0.58543550895585,0.3282828282828283,0.2718742934659733,0.297427652733119,0.28154998829313976,1
0.35,0.7499999999999999,0.5827156499618803,0.35584155106134047,0.24067375084784084,0.28714006338930476,0.25733072255662726,1
0.39999999999999997,0.01,0.32011126820540636,0.05383973288814691,0.9333031878815283,0.10180652321351501,0.21872748081895638,1
0.39999999999999997,0.03,0.34622275723877555,0.05706094579902636,0.9314944607732308,0.10753459964894652,0.22915496326289972,1
0.39999999999999997,0.049999999999999996,0.3694472712926031,0.0603416537810176,0.926407415781144,0.11330328503484127,0.23934834164748764,1
0.39999999999999997,0.06999999999999999,0.39058619692872526,0.06377742946708465,0.9199638254578341,0.11928528502118053,0.24965640799096842,1
0.39999999999999997,0.08999999999999998,0.4095594294810733,0.06738762475715608,0.9136332805787927,0.12551735919676343,0.26017757231983624,1
0.39999999999999997,0.10999999999999997,0.4265808576982997,0.07095557640893076,0.9060592358127968,0.1316048734031723,0.2701527551199256,1
0.39999999999999997,0.12999999999999998,0.44074275083302616,0.07460152167590742,0.8989373728238752,0.13776973120002772,0.2800453594596307,1
0.39999999999999997,0.15,0.45300576529840414,0.07809799988082707,0.8889893737282387,0.14358225305824357,0.28895192463146135,1
0.39999999999999997,0.16999999999999998,0.4638139428727068,0.08173051699352578,0.880510965408094,0.14957704014517942,0.29800665722921527,1
0.39999999999999997,0.18999999999999997,0.4733048426457335,0.08523602202355235,0.8697716482025775,0.15525713074975028,0.30616549012741645,1
0.39999999999999997,0.20999999999999996,0.48194961773016365,0.08889435234616465,0.8583540583314493,0.16110415649996818,0.3142798013245033,1
0.39999999999999997,0.22999999999999998,0.49009731721381034,0.09281989670163618,0.8471625593488582,0.16730852952010986,0.32268065207843544,1
0.39999999999999997,0.24999999999999997,0.49720719978954464,0.09653293515134845,0.8331449242595523,0.17301891000434308,0.329809990065425,1
0.39999999999999997,0.26999999999999996,0.5037780179639368,0.10042344735968117,0.820370789057201,0.17894217729009987,0.3370708234244947,1
0.39999999999999997,0.29,0.5102390657452105,0.10436248991861573,0.8045444268595976,0.18475876481354084,0.3435541953484779,1
0.39999999999999997,0.30999999999999994,0.5164055035955811,0.10859045574071481,0.7889441555505313,0.19090473910962183,0.35016507280262515,1
0.39999999999999997,0.32999999999999996,0.5219538134117262,0.11285406658936557,0.7701786118019444,0.1968619972260749,0.35575537314368066,1
0.39999999999999997,0.35,0.5275114213332739,0.11754432389521037,0.753221795161655,0.20335413773633854,0.361848179083079,1
0.39999999999999997,0.36999999999999994,0.5327452809421871,0.12238334367770694,0.735586705855754,0.2098524550511973,0.3674070895395977,1
0.39999999999999997,0.38999999999999996,0.538140728182458,0.1278772378516624,0.7178385711055845,0.21708288463839462,0.37334932561940715,1
0.39999999999999997,0.4099999999999999,0.5433054795578685,0.13354352473708078,0.6990730273569975,0.22424890758435626,0.3784994675056003,1
