year,month,precipitation_sum,precipitation_mean,rain_day_share,temp_mean,humidity_mean,cloud_cover_mean,wind_speed_mean,month_name
2023,4,5046.4,3.0038095238095237,0.7065476190476191,30.715424107142855,71.19732142857143,61.73301091269841,10.821510416666667,Apr
2023,5,5925.4,3.4132488479262673,0.7851382488479263,30.708587749615972,70.485839093702,76.6477294546851,9.755153129800307,May
2023,6,11567.8,6.885595238095238,0.9660714285714286,29.032467757936505,77.15019841269842,90.93184523809524,10.747445436507936,Jun
2023,7,12978.0,7.475806451612903,0.9855990783410138,28.707145257296464,76.94184427803378,92.84941436251921,10.982769297235023,Jul
2023,8,14377.9,8.282200460829493,0.988479262672811,28.651363287250387,77.90521793394778,92.99793586789554,10.472117415514592,Aug
2023,9,21592.7,12.85279761904762,0.9982142857142857,27.874149305555555,83.1860367063492,93.62331349206349,8.800225694444444,Sep
2023,10,16647.5,9.589573732718893,0.9723502304147466,27.568850806451614,84.4191148233487,93.00249615975423,6.374061539938555,Oct
2023,11,4612.9,2.745773809523809,0.5434523809523809,26.803663194444443,76.28497023809524,75.31507936507936,7.825287698412699,Nov
2023,12,2289.9,1.3190668202764977,0.3957373271889401,26.879598694316435,69.17449116743472,59.249207949308754,8.049771985407066,Dec
2024,1,708.5,0.4081221198156682,0.2695852534562212,27.521608582949305,66.87408794162826,50.5213133640553,7.815128168202765,Jan
2024,2,857.9,0.5282635467980296,0.5806650246305419,28.6768703817734,73.68614018883416,32.592261904761905,10.625731219211822,Feb
2024,3,3637.7,2.0954493087557604,0.6837557603686636,29.56732670890937,74.84691820276498,44.48816724270353,12.053091397849464,Mar
2024,4,457.8,0.2725,0.41845238095238096,31.63266369047619,70.59608134920636,42.302653769841264,14.408033234126984,Apr
2024,5,16184.6,9.322926267281106,0.8525345622119815,30.153523425499234,77.41940284178187,82.16136232718894,9.579065860215055,May
2024,6,10488.2,6.242976190476191,0.950595238095238,29.108501984126985,77.64253472222222,94.98690476190477,10.837864583333333,Jun
2024,7,18232.1,10.502361751152073,0.9942396313364056,27.83609831029186,83.26332085253456,97.0057603686636,9.924642377112134,Jul
2024,8,9695.5,5.584965437788019,0.9654377880184332,28.53775441628264,80.6974366359447,91.21116551459293,7.869158026113672,Aug
2024,9,16365.3,9.741249999999999,0.9976190476190476,27.892571924603175,82.8125248015873,93.38226686507937,8.56201884920635,Sep
2024,10,13884.3,7.99786866359447,0.8917050691244239,27.615485791090627,82.88066436251921,80.31141993087557,6.517317108294931,Oct
2024,11,2704.4,1.6097619047619047,0.5160714285714286,27.922961309523807,70.88891369047619,63.94253472222222,7.79515376984127,Nov
2024,12,408.0,0.2350230414746544,0.12672811059907835,26.528223406298004,63.46147753456221,58.19398041474654,7.683760560675883,Dec
2025,1,9.5,0.005472350230414746,0.014400921658986175,25.506780433947775,55.96049347158218,50.77918586789555,7.492837941628265,Jan
2025,2,3471.8,2.2141581632653065,0.4789540816326531,27.70003454506803,68.14944727891157,46.62941113945578,7.225356079931973,Feb
2025,3,4333.1,2.49602534562212,0.5518433179723502,29.27544642857143,69.77712173579108,56.12984831029186,9.041786674347158,Mar
2025,4,4966.6,2.956309523809524,0.8559523809523809,29.76067956349206,74.06934523809524,77.32214781746032,8.111646825396825,Apr
2025,5,14031.4,8.082603686635945,0.9821428571428571,28.704889112903224,81.88323252688171,95.71262960829493,6.81689708141321,May
2025,6,11024.1,6.561964285714286,0.9779761904761904,28.452646329365077,79.98194444444444,95.5327380952381,8.769141865079364,Jun
2025,7,12858.9,7.407200460829493,0.9855990783410138,27.954589093701994,82.45384504608295,97.16244239631337,9.34942396313364,Jul
2025,8,11059.8,6.370852534562212,0.8934331797235023,28.292566724270355,78.21361367127497,95.38450460829493,8.403024193548386,Aug
