config,block,span,target,rows,base_rate,roc_auc
om_only,5,2025-05..2025-06,h3_1.0mm,304878,0.3144142903062864,0.757254251376185
om_only,5,2025-05..2025-06,h6_1.0mm,304878,0.4410091905614705,0.7445141528131383
om_only,6,2025-07..2025-08,h1_0.1mm,309876,0.419748544579122,0.7887311605006271
om_only,6,2025-07..2025-08,h3_0.1mm,309876,0.5945378151260504,0.7717725416990908
om_only,6,2025-07..2025-08,h6_0.1mm,309876,0.7235797544824382,0.7771303412449566
om_only,6,2025-07..2025-08,h1_1.0mm,309876,0.2003091559204327,0.7960637031079748
om_only,6,2025-07..2025-08,h3_1.0mm,309876,0.3145484000051634,0.768233966984309
om_only,6,2025-07..2025-08,h6_1.0mm,309876,0.4336476526094309,0.755130661698246
om_only,7,2025-09..2025-10,h1_0.1mm,304878,0.39803462368553977,0.8044582948463703
om_only,7,2025-09..2025-10,h3_0.1mm,304878,0.5510368081658893,0.8025671120671636
om_only,7,2025-09..2025-10,h6_0.1mm,304878,0.6705305072848812,0.8227297420514077
om_only,7,2025-09..2025-10,h1_1.0mm,304878,0.19814483170317307,0.8017922967238962
om_only,7,2025-09..2025-10,h3_1.0mm,304878,0.3060962089753934,0.7826040781924753
om_only,7,2025-09..2025-10,h6_1.0mm,304878,0.42288390766142525,0.7857273587445128
om_only,8,2025-11..2025-12,h1_0.1mm,304878,0.15771882523501204,0.8913198044520703
om_only,8,2025-11..2025-12,h3_0.1mm,304878,0.22058987529438004,0.8894611625733264
om_only,8,2025-11..2025-12,h6_0.1mm,304878,0.2811419649827144,0.8881179304155503
om_only,8,2025-11..2025-12,h1_1.0mm,304878,0.05803304928528789,0.9217246879940186
om_only,8,2025-11..2025-12,h3_1.0mm,304878,0.0898031343685015,0.9058911727761915
om_only,8,2025-11..2025-12,h6_1.0mm,304878,0.12468265994922559,0.8972059201870668
om_only,9,2026-01..2026-02,h1_0.1mm,294882,0.04284425634660644,0.9018065260786445
om_only,9,2026-01..2026-02,h3_0.1mm,294882,0.0671658493906037,0.8978213551482536
om_only,9,2026-01..2026-02,h6_0.1mm,294882,0.09507192707591511,0.8894146704345226
om_only,9,2026-01..2026-02,h1_1.0mm,294882,0.019492542779823794,0.9279106284844681
om_only,9,2026-01..2026-02,h3_1.0mm,294882,0.033460841963904205,0.9161144292720891
om_only,9,2026-01..2026-02,h6_1.0mm,294882,0.04962323912615894,0.9128424665556657
om_only,10,2026-03..2026-04,h1_0.1mm,304878,0.09479201516672242,0.855932891734688
om_only,10,2026-03..2026-04,h3_0.1mm,304878,0.140902262544362,0.8387059446220617
om_only,10,2026-03..2026-04,h6_0.1mm,304878,0.195389631262341,0.826413290901829
om_only,10,2026-03..2026-04,h1_1.0mm,304878,0.03948464631754341,0.8853099934315364
om_only,10,2026-03..2026-04,h3_1.0mm,304878,0.0663708106193297,0.8690396879571414
om_only,10,2026-03..2026-04,h6_1.0mm,304878,0.09933481589357054,0.8517882720798133
om_only,11,2026-05..2026-06,h1_0.1mm,303212,0.3641544529899872,0.7848286828570621
om_only,11,2026-05..2026-06,h3_0.1mm,303212,0.5275088057200902,0.7711501670601788
om_only,11,2026-05..2026-06,h6_0.1mm,303212,0.6691324881600992,0.7741548180290379
om_only,11,2026-05..2026-06,h1_1.0mm,303212,0.1634532934052742,0.8001171261714606
om_only,11,2026-05..2026-06,h3_1.0mm,303212,0.2698639895518647,0.7774441554411526
om_only,11,2026-05..2026-06,h6_1.0mm,303212,0.3915841061699405,0.7609674626679812
om_only,12,2026-07..2026-07,h1_0.1mm,94962,0.4297087255955014,0.7510139001342463
om_only,12,2026-07..2026-07,h3_0.1mm,94962,0.6026937090625724,0.7576519201406653
om_only,12,2026-07..2026-07,h6_0.1mm,94962,0.7402855879193783,0.7802475542405107
om_only,12,2026-07..2026-07,h1_1.0mm,94962,0.16480276321054738,0.7794065311519321
om_only,12,2026-07..2026-07,h3_1.0mm,94962,0.27883785092984564,0.7601107979274095
om_only,12,2026-07..2026-07,h6_1.0mm,94962,0.3952423074492955,0.7560540022011413
