model,target_type,feature_set,horizon_h,split,class_id,class_label,rows,class_rate,predicted_class_rate,precision,recall,f1,rain_threshold,strong_threshold,mean_rain_probability,mean_strong_probability
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,4,test,2,moderate_or_heavy,368032,0.01058331884183984,0.012066885488218417,0.07903625309614952,0.09011553273427471,0.08421305182341651,0.6499999999999999,0.6000000000000001,0.25565000290533096,0.2149602245856373
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,5,validation,0,no_rain,368032,0.731164681332058,0.6850627119380923,0.8479841348537431,0.7945163735822692,0.8203799952802767,0.6499999999999999,0.6000000000000001,0.4433453666568232,0.3028523476387327
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,5,validation,1,light,368032,0.244777628032345,0.27432940613859663,0.47127632178443374,0.5281730790577892,0.4981051882249487,0.6499999999999999,0.6000000000000001,0.4433453666568232,0.3028523476387327
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,5,validation,2,moderate_or_heavy,368032,0.024057690635596905,0.040607881923311016,0.10030110404817665,0.16930201039078382,0.12597167948233118,0.6499999999999999,0.6000000000000001,0.4433453666568232,0.3028523476387327
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,5,test,0,no_rain,368032,0.8377776932440657,0.884333427528041,0.8837410089626163,0.9328509481754879,0.9076321569221448,0.6499999999999999,0.6000000000000001,0.2572451541209881,0.2307726682235918
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,5,test,1,light,368032,0.15163898791409441,0.10100752108512304,0.46637434766234465,0.3106543864678899,0.3729108859779312,0.6499999999999999,0.6000000000000001,0.2572451541209881,0.2307726682235918
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,5,test,2,moderate_or_heavy,368032,0.01058331884183984,0.014659051386835927,0.06209453197405004,0.08600770218228498,0.0721205597416577,0.6499999999999999,0.6000000000000001,0.2572451541209881,0.2307726682235918
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,6,validation,0,no_rain,368032,0.7311266411616382,0.6871114468307103,0.8425808390574148,0.791855893086763,0.8164312385886193,0.6499999999999999,0.6000000000000001,0.44509600968199525,0.30704529294526844
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,6,validation,1,light,368032,0.24481566820276499,0.2734327449786975,0.4628249463391367,0.5169256381798002,0.4883816035064908,0.6499999999999999,0.6000000000000001,0.44509600968199525,0.30704529294526844
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,6,validation,2,moderate_or_heavy,368032,0.024057690635596905,0.03945580819059212,0.09565456924454238,0.15687824711994577,0.11884491978609625,0.6499999999999999,0.6000000000000001,0.44509600968199525,0.30704529294526844
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,6,test,0,no_rain,368032,0.8378157334144857,0.8857354795235197,0.8819187739087487,0.9323610394917349,0.9064386857148262,0.6499999999999999,0.6000000000000001,0.25895406314807645,0.2339992506409198
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,6,test,1,light,368032,0.15160094774367447,0.09995869924354404,0.4620528433184734,0.3046564146682439,0.367198807543583,0.6499999999999999,0.6000000000000001,0.25895406314807645,0.2339992506409198
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,6,test,2,moderate_or_heavy,368032,0.01058331884183984,0.014305821232936266,0.04748338081671415,0.06418485237483953,0.05458515283842795,0.6499999999999999,0.6000000000000001,0.25895406314807645,0.2339992506409198
