rain_threshold,strong_threshold,macro_f1,moderate_or_heavy_precision,moderate_or_heavy_recall,horizon_h
0.39999999999999997,0.3,0.43402029659572583,0.06341818181818182,0.6900293918155098,2
0.39999999999999997,0.35000000000000003,0.44877724034785643,0.06737747622220876,0.6286457155776622,2
0.39999999999999997,0.4,0.46136655527081194,0.0716139226743596,0.5584444946868641,2
0.39999999999999997,0.45,0.4718239782052127,0.07642783718959081,0.47908659281030974,2
0.39999999999999997,0.5,0.4808575330034641,0.08260797773217277,0.3958851458286231,2
0.39999999999999997,0.55,0.488000879493931,0.09146221786064769,0.31607506217499437,2
0.39999999999999997,0.6000000000000001,0.49443021000182014,0.10692815610525279,0.24530861406285326,2
0.39999999999999997,0.6500000000000001,0.4982053972893415,0.13078136676907748,0.17804657472303867,2
0.39999999999999997,0.7000000000000001,0.497221986491809,0.16797657574356603,0.12321953425276962,2
0.39999999999999997,0.7500000000000001,0.4874604966392695,0.21928620452985587,0.07223603888763283,2
0.44999999999999996,0.05,0.3106128444914403,0.04631105866402199,0.8340492878137011,2
0.44999999999999996,0.1,0.34407207553823854,0.049728012323689404,0.8174316075062175,2
0.44999999999999996,0.15000000000000002,0.37654880541747643,0.053916370845050944,0.7932398824327379,2
0.44999999999999996,0.2,0.402813297585767,0.057864177884822156,0.7604567035948451,2
0.44999999999999996,0.25,0.4239072305952283,0.061820468175662606,0.7224734343205969,2
0.44999999999999996,0.3,0.441959821919816,0.06572541382667965,0.67148993895546,2
0.44999999999999996,0.35000000000000003,0.45730068714422667,0.0698634733011588,0.6120280352701786,2
0.44999999999999996,0.4,0.47034703637030084,0.07424059825098112,0.5431833597106036,2
0.44999999999999996,0.45,0.4812233084744065,0.07924753313200869,0.4657472303866154,2
0.44999999999999996,0.5,0.490617489460792,0.08575094985280426,0.3852588740673751,2
0.44999999999999996,0.55,0.4980781217687189,0.09516174010039041,0.30861406285326703,2
0.44999999999999996,0.6000000000000001,0.5046146388252907,0.11122170997485331,0.23999547818222924,2
0.44999999999999996,0.6500000000000001,0.5084460903973761,0.13617245005257625,0.17567262039339815,2
0.44999999999999996,0.7000000000000001,0.5071337946134894,0.17389202256244965,0.12197603436581506,2
0.44999999999999996,0.7500000000000001,0.4972012064063606,0.22625400213447172,0.07189690255482704,2
0.49999999999999994,0.05,0.3162215043026773,0.048183110643946286,0.8083879719647298,2
0.49999999999999994,0.1,0.3484685254775624,0.051612855798635615,0.7936920642098123,2
0.49999999999999994,0.15000000000000002,0.38107163736685323,0.0559216735467669,0.770291657246213,2
0.49999999999999994,0.2,0.40804740368008047,0.06007206809699778,0.7387519782952747,2
0.49999999999999994,0.25,0.42993488507403543,0.06426982566861518,0.7022382997965182,2
0.49999999999999994,0.3,0.4485152814895497,0.06828055637762652,0.6520461225412616,2
0.49999999999999994,0.35000000000000003,0.46448447538245885,0.07262407821691938,0.5945059914085462,2
0.49999999999999994,0.4,0.47816225117543754,0.0773518126488489,0.5287135428442233,2
0.49999999999999994,0.45,0.48937232561519917,0.08244390976206634,0.45319918607280124,2
0.49999999999999994,0.5,0.49915363696843734,0.08927657970546267,0.37485869319466425,2
0.49999999999999994,0.55,0.5068838039514149,0.09907696888491886,0.3009269726430025,2
0.49999999999999994,0.6000000000000001,0.5135066150265947,0.11574487065120428,0.23468234230160526,2
0.49999999999999994,0.6500000000000001,0.5174538726818461,0.14203543928008164,0.17307257517522043,2
0.49999999999999994,0.7000000000000001,0.5157754726342673,0.18023354205449316,0.12039339814605471,2
0.49999999999999994,0.7500000000000001,0.5055678744578992,0.23389199255121043,0.07099253900067827,2
0.5499999999999999,0.05,0.32141265354078546,0.05046663350984465,0.7800135654533122,2
0.5499999999999999,0.1,0.35186284938021783,0.053844567149022596,0.7672394302509609,2
0.5499999999999999,0.15000000000000002,0.3845121215717879,0.058286330604522874,0.7453086140628533,2
0.5499999999999999,0.2,0.41219009445601534,0.0626318447871171,0.714899389554601,2
0.5499999999999999,0.25,0.4347440142165448,0.0670091604074264,0.6797422563870676,2
0.5499999999999999,0.3,0.45407105383893337,0.07116286180187525,0.6314718516843771,2
0.5499999999999999,0.35000000000000003,0.47077955414514144,0.0757890982583368,0.5765317657698394,2
0.5499999999999999,0.4,0.48522083157273826,0.08101125997719498,0.5140176350893059,2
0.5499999999999999,0.45,0.4967909807348799,0.08630464632147761,0.4405380963147185,2
0.5499999999999999,0.5,0.5070387454878179,0.09362601720193449,0.36547592132037077,2
0.5499999999999999,0.55,0.514900917471259,0.10362859766077202,0.29346597332127516,2
0.5499999999999999,0.6000000000000001,0.5216218253556962,0.1208477199666627,0.22948225186524984,2
0.5499999999999999,0.6500000000000001,0.5253842275117848,0.1474767270945615,0.17013339362423693,2
0.5499999999999999,0.7000000000000001,0.5233534101415617,0.18564356435643564,0.11869771648202578,2
0.5499999999999999,0.7500000000000001,0.5127989219893465,0.2382420971472629,0.06986208455799231,2
0.5999999999999999,0.05,0.325612448763795,0.05269876442110841,0.742030296179064,2
0.5999999999999999,0.1,0.3540833437628838,0.056047095489568,0.7318562061948903,2
0.5999999999999999,0.15000000000000002,0.38655291453768165,0.060596437541499466,0.7118471625593489,2
0.5999999999999999,0.2,0.41482159330209517,0.06514872192934226,0.6831336197151254,2
0.5999999999999999,0.25,0.4380717805864441,0.0697171986891613,0.6493330318788153,2
0.5999999999999999,0.3,0.45800841624915517,0.07418508804795804,0.6043409450599141,2
0.5999999999999999,0.35000000000000003,0.4754339247411943,0.07915076644460255,0.5533574496947773,2
0.5999999999999999,0.4,0.49036691432115953,0.08467616981716765,0.4942346823423016,2
0.5999999999999999,0.45,0.5024707916791781,0.09040173201828242,0.4248247795613837,2
0.5999999999999999,0.5,0.5131521687077876,0.09835601798007104,0.3537191951164368,2
0.5999999999999999,0.55,0.5210822212074744,0.10855021796365834,0.2843092923355189,2
0.5999999999999999,0.6000000000000001,0.527720036905223,0.12603860411606801,0.22292561609767125,2
0.5999999999999999,0.6500000000000001,0.5311824003961583,0.15267810712428498,0.1659507121862989,2
