model,model_stage,horizon_h,feature,importance,is_neighbor_feature
lightgbm,strong_if_rain,1,neighbor_cloud_cover_mean_minus_center,123.0,True
lightgbm,strong_if_rain,1,neighbor_relative_humidity_mean_minus_center,220.0,True
lightgbm,strong_if_rain,1,center_pressure_msl_minus_neighbor_mean,439.0,True
lightgbm,rain_binary,2,temperature_2m,483.0,False
lightgbm,rain_binary,2,relative_humidity_2m,47.0,False
lightgbm,rain_binary,2,pressure_msl,472.0,False
lightgbm,rain_binary,2,surface_pressure,310.0,False
lightgbm,rain_binary,2,dew_point_2m,525.0,False
lightgbm,rain_binary,2,precipitation,84.0,False
lightgbm,rain_binary,2,cloud_cover,62.0,False
lightgbm,rain_binary,2,wind_speed_10m,327.0,False
lightgbm,rain_binary,2,wind_direction_10m,1688.0,False
lightgbm,rain_binary,2,temperature_dew_point_spread,137.0,False
lightgbm,rain_binary,2,pressure_msl_change_3h,1388.0,False
lightgbm,rain_binary,2,pressure_msl_change_6h,1595.0,False
lightgbm,rain_binary,2,precipitation_lag_1h,138.0,False
lightgbm,rain_binary,2,precipitation_lag_2h,128.0,False
lightgbm,rain_binary,2,precipitation_lag_3h,156.0,False
lightgbm,rain_binary,2,precipitation_lag_6h,166.0,False
lightgbm,rain_binary,2,precipitation_sum_past_3h,195.0,False
lightgbm,rain_binary,2,precipitation_sum_past_6h,260.0,False
lightgbm,rain_binary,2,precipitation_sum_past_12h,446.0,False
lightgbm,rain_binary,2,precipitation_sum_past_24h,887.0,False
lightgbm,rain_binary,2,cloud_cover_lag_1h,345.0,False
lightgbm,rain_binary,2,cloud_cover_lag_3h,443.0,False
lightgbm,rain_binary,2,cloud_cover_lag_6h,577.0,False
lightgbm,rain_binary,2,humidity_lag_1h,356.0,False
lightgbm,rain_binary,2,humidity_lag_3h,497.0,False
lightgbm,rain_binary,2,humidity_lag_6h,1001.0,False
lightgbm,rain_binary,2,wind_speed_lag_1h,307.0,False
lightgbm,rain_binary,2,wind_speed_lag_3h,510.0,False
lightgbm,rain_binary,2,hour_sin,1261.0,False
lightgbm,rain_binary,2,hour_cos,1327.0,False
lightgbm,rain_binary,2,month_sin,1440.0,False
lightgbm,rain_binary,2,month_cos,1180.0,False
lightgbm,rain_binary,2,grid_row,257.0,False
lightgbm,rain_binary,2,grid_column,154.0,False
lightgbm,rain_binary,2,latitude,49.0,False
lightgbm,rain_binary,2,longitude,40.0,False
lightgbm,rain_binary,2,neighbor_count,32.0,True
lightgbm,rain_binary,2,neighbor_precipitation_mean,442.0,True
lightgbm,rain_binary,2,neighbor_precipitation_max,229.0,True
lightgbm,rain_binary,2,neighbor_precipitation_sum,71.0,True
lightgbm,rain_binary,2,neighbor_rain_count,45.0,True
lightgbm,rain_binary,2,neighbor_rain_rate,213.0,True
lightgbm,rain_binary,2,neighbor_cloud_cover_mean,467.0,True
lightgbm,rain_binary,2,neighbor_cloud_cover_max,303.0,True
lightgbm,rain_binary,2,neighbor_relative_humidity_mean,387.0,True
lightgbm,rain_binary,2,neighbor_relative_humidity_max,416.0,True
lightgbm,rain_binary,2,neighbor_pressure_msl_mean,1153.0,True
lightgbm,rain_binary,2,neighbor_pressure_msl_min,1054.0,True
lightgbm,rain_binary,2,neighbor_pressure_msl_max,847.0,True
lightgbm,rain_binary,2,neighbor_temperature_2m_mean,1037.0,True
lightgbm,rain_binary,2,neighbor_dew_point_2m_mean,1661.0,True
lightgbm,rain_binary,2,neighbor_temperature_dew_point_spread_mean,407.0,True
lightgbm,rain_binary,2,neighbor_wind_speed_10m_mean,708.0,True
lightgbm,rain_binary,2,neighbor_wind_speed_10m_max,590.0,True
lightgbm,rain_binary,2,row_minus_precipitation_mean,132.0,True
lightgbm,rain_binary,2,row_plus_precipitation_mean,85.0,True
lightgbm,rain_binary,2,column_minus_precipitation_mean,116.0,True
lightgbm,rain_binary,2,column_plus_precipitation_mean,59.0,True
lightgbm,rain_binary,2,row_minus_cloud_cover_mean,300.0,True
lightgbm,rain_binary,2,row_plus_cloud_cover_mean,218.0,True
lightgbm,rain_binary,2,column_minus_cloud_cover_mean,207.0,True
lightgbm,rain_binary,2,column_plus_cloud_cover_mean,205.0,True
