strong_threshold,light_threshold,meets_recall_constraint,macro_f1,moderate_or_heavy_precision,moderate_or_heavy_recall,moderate_or_heavy_f1,horizon_h
0.18999999999999997,0.35,True,0.4006526219517285,0.06762593520360183,0.9186072801266109,0.12597766012696984,1
0.18999999999999997,0.39999999999999997,True,0.40417979739382587,0.06762593520360183,0.9186072801266109,0.12597766012696984,1
0.18999999999999997,0.44999999999999996,True,0.40693026881131344,0.06762593520360183,0.9186072801266109,0.12597766012696984,1
0.18999999999999997,0.49999999999999994,True,0.40781242097651793,0.06762593520360183,0.9186072801266109,0.12597766012696984,1
0.18999999999999997,0.5499999999999999,True,0.40747317523754156,0.06762593520360183,0.9186072801266109,0.12597766012696984,1
0.18999999999999997,0.5999999999999999,True,0.4058278166992679,0.06762593520360183,0.9186072801266109,0.12597766012696984,1
0.18999999999999997,0.6499999999999999,True,0.4028155653763888,0.06762593520360183,0.9186072801266109,0.12597766012696984,1
0.18999999999999997,0.7,True,0.39837167957947534,0.06762593520360183,0.9186072801266109,0.12597766012696984,1
0.18999999999999997,0.7499999999999998,True,0.3922686864929872,0.06762593520360183,0.9186072801266109,0.12597766012696984,1
0.18999999999999997,0.7999999999999998,True,0.38393282307363363,0.06762593520360183,0.9186072801266109,0.12597766012696984,1
0.20999999999999996,0.2,True,0.3839587117848929,0.07057218563895375,0.9122767352475695,0.13100968367736227,1
0.20999999999999996,0.25,True,0.39523543726093907,0.07057218563895375,0.9122767352475695,0.13100968367736227,1
0.20999999999999996,0.3,True,0.40330176453202443,0.07057218563895375,0.9122767352475695,0.13100968367736227,1
0.20999999999999996,0.35,True,0.40918897161949236,0.07057218563895375,0.9122767352475695,0.13100968367736227,1
0.20999999999999996,0.39999999999999997,True,0.41311492988108617,0.07057218563895375,0.9122767352475695,0.13100968367736227,1
0.20999999999999996,0.44999999999999996,True,0.41621999259864945,0.07057218563895375,0.9122767352475695,0.13100968367736227,1
0.20999999999999996,0.49999999999999994,True,0.4174285801772016,0.07057218563895375,0.9122767352475695,0.13100968367736227,1
0.20999999999999996,0.5499999999999999,True,0.4174148232009683,0.07057218563895375,0.9122767352475695,0.13100968367736227,1
0.20999999999999996,0.5999999999999999,True,0.4160493241171881,0.07057218563895375,0.9122767352475695,0.13100968367736227,1
0.20999999999999996,0.6499999999999999,True,0.41320772669299805,0.07057218563895375,0.9122767352475695,0.13100968367736227,1
0.20999999999999996,0.7,True,0.4088472420752504,0.07057218563895375,0.9122767352475695,0.13100968367736227,1
0.20999999999999996,0.7499999999999998,True,0.4026047668051722,0.07057218563895375,0.9122767352475695,0.13100968367736227,1
0.20999999999999996,0.7999999999999998,True,0.39401799984835795,0.07057218563895375,0.9122767352475695,0.13100968367736227,1
0.22999999999999998,0.2,True,0.3906183430780055,0.07336954032989275,0.9056070540357224,0.13574169935526506,1
0.22999999999999998,0.25,True,0.4023571988511052,0.07336954032989275,0.9056070540357224,0.13574169935526506,1
0.22999999999999998,0.3,True,0.4108584609052506,0.07336954032989275,0.9056070540357224,0.13574169935526506,1
0.22999999999999998,0.35,True,0.41704056789756433,0.07336954032989275,0.9056070540357224,0.13574169935526506,1
0.22999999999999998,0.39999999999999997,True,0.4213207192135317,0.07336954032989275,0.9056070540357224,0.13574169935526506,1
0.22999999999999998,0.44999999999999996,True,0.4247895499973804,0.07336954032989275,0.9056070540357224,0.13574169935526506,1
0.22999999999999998,0.49999999999999994,True,0.4263062985830108,0.07336954032989275,0.9056070540357224,0.13574169935526506,1
0.22999999999999998,0.5499999999999999,True,0.42653199504949774,0.07336954032989275,0.9056070540357224,0.13574169935526506,1
0.22999999999999998,0.5999999999999999,True,0.4254221495535991,0.07336954032989275,0.9056070540357224,0.13574169935526506,1
0.22999999999999998,0.6499999999999999,True,0.4226928767356645,0.07336954032989275,0.9056070540357224,0.13574169935526506,1
0.22999999999999998,0.7,True,0.41834511594238005,0.07336954032989275,0.9056070540357224,0.13574169935526506,1
0.22999999999999998,0.7499999999999998,True,0.4120556129152451,0.07336954032989275,0.9056070540357224,0.13574169935526506,1
0.22999999999999998,0.7999999999999998,True,0.40321222522423694,0.07336954032989275,0.9056070540357224,0.13574169935526506,1
0.24999999999999997,0.2,True,0.39712883033139645,0.07625097002270571,0.8997286909337554,0.1405873261205564,1
0.24999999999999997,0.25,True,0.4093108309914954,0.07625097002270571,0.8997286909337554,0.1405873261205564,1
0.24999999999999997,0.3,True,0.41819112029447125,0.07625097002270571,0.8997286909337554,0.1405873261205564,1
0.24999999999999997,0.35,True,0.42470159521292833,0.07625097002270571,0.8997286909337554,0.1405873261205564,1
0.24999999999999997,0.39999999999999997,True,0.4293240551226442,0.07625097002270571,0.8997286909337554,0.1405873261205564,1
0.24999999999999997,0.44999999999999996,True,0.43314226715666315,0.07625097002270571,0.8997286909337554,0.1405873261205564,1
0.24999999999999997,0.49999999999999994,True,0.4349631417192626,0.07625097002270571,0.8997286909337554,0.1405873261205564,1
0.24999999999999997,0.5499999999999999,True,0.4354566463173482,0.07625097002270571,0.8997286909337554,0.1405873261205564,1
0.24999999999999997,0.5999999999999999,True,0.4345544219396635,0.07625097002270571,0.8997286909337554,0.1405873261205564,1
0.24999999999999997,0.6499999999999999,True,0.43202321791709136,0.07625097002270571,0.8997286909337554,0.1405873261205564,1
0.24999999999999997,0.7,True,0.4277212307932953,0.07625097002270571,0.8997286909337554,0.1405873261205564,1
0.24999999999999997,0.7499999999999998,True,0.42136059970923184,0.07625097002270571,0.8997286909337554,0.1405873261205564,1
0.24999999999999997,0.7999999999999998,True,0.4123514127250068,0.07625097002270571,0.8997286909337554,0.1405873261205564,1
0.26999999999999996,0.2,True,0.40310648537171073,0.07901093504124446,0.8911372371693421,0.1451522321551875,1
0.26999999999999996,0.25,True,0.4156915178907367,0.07901093504124446,0.8911372371693421,0.1451522321551875,1
0.26999999999999996,0.3,True,0.42494552729767615,0.07901093504124446,0.8911372371693421,0.1451522321551875,1
0.26999999999999996,0.35,True,0.43179767141106984,0.07901093504124446,0.8911372371693421,0.1451522321551875,1
0.26999999999999996,0.39999999999999997,True,0.4367409746607506,0.07901093504124446,0.8911372371693421,0.1451522321551875,1
