config,target,horizon_h,threshold_mm,probabilities,rows,base_rate,roc_auc,pr_auc,pr_auc_lift,precision,recall,f1,brier_score,brier_skill,offset_h
persist_offset2h,h6_1.0mm,6,1.0,amount,2453024,0.1240921409656,0.6313150022443367,0.2078594149538875,1.6750409279465077,0.23807825788490142,0.41015962496838054,0.30127856316381946,,,2
persist_offset3h,h1_0.1mm,1,0.1,amount,2452912,0.17783108403399714,0.677778062286865,0.3347371071686895,1.8823318149750219,0.3873379774860933,0.4656422224463783,0.42289590470866373,,,3
persist_offset3h,h3_0.1mm,3,0.1,amount,2452912,0.2746482548089781,0.665359943730565,0.43442935077582207,1.581766288950112,0.5402155278448931,0.42049435346926173,0.4728952694948146,,,3
persist_offset3h,h6_0.1mm,6,0.1,amount,2452912,0.372989328602086,0.660791699337835,0.5285614524802638,1.4170953749836255,0.6751692929077189,0.38697795411570535,0.4919762912032749,,,3
persist_offset3h,h1_1.0mm,1,1.0,amount,2452912,0.04780970536244268,0.6531809442551594,0.10107841153521917,2.114181854268907,0.1324194442476253,0.2709148738413787,0.17788913773796192,,,3
persist_offset3h,h3_1.0mm,3,1.0,amount,2452912,0.08072731512585857,0.62689539662092,0.13611109544969036,1.6860599815252775,0.1555187294879545,0.4118434275845003,0.22577948073377224,,,3
persist_offset3h,h6_1.0mm,6,1.0,amount,2452912,0.12408883808306209,0.6125370074134328,0.1827340818500643,1.4726069215649071,0.22185523287190567,0.38221427890886034,0.2807499342395803,,,3
persist_offset4h,h1_0.1mm,1,0.1,amount,2452800,0.17783308871493803,0.6588941486523433,0.3027788244624038,1.7026011674787398,0.3646058608813063,0.4383054134790194,0.3980731812186181,,,4
persist_offset4h,h3_0.1mm,3,0.1,amount,2452800,0.2746400032615786,0.6535443962785414,0.41237204265328203,1.501500283119796,0.5205394024693053,0.40518706662490334,0.4556763592502473,,,4
persist_offset4h,h6_0.1mm,6,0.1,amount,2452800,0.37297945205479455,0.6534043802650025,0.5145896446020128,1.379672906287648,0.6610674386583212,0.37890175811395166,0.48170583420534435,,,4
persist_offset4h,h1_1.0mm,1,1.0,amount,2452800,0.047808219178082194,0.622450181979238,0.0800320644329911,1.6740231242430803,0.0975536534456634,0.35193239186792197,0.15276243145050092,,,4
persist_offset4h,h3_1.0mm,3,1.0,amount,2452800,0.08072529354207436,0.6070407195668486,0.11828409427646576,1.4652668214184392,0.14386735779753526,0.3809942273601915,0.20886509653760377,,,4
persist_offset4h,h6_1.0mm,6,1.0,amount,2452800,0.12408635029354208,0.6012236098277737,0.16934834341797314,1.3647620630098158,0.21208220338013342,0.3653810138684908,0.26838353744402493,,,4
persist_offset5h,h1_0.1mm,1,0.1,amount,2452688,0.1778330549992498,0.645645115452073,0.28121094714150785,1.581319890965682,0.34922290860474475,0.4198074599524496,0.3812759241058786,,,5
persist_offset5h,h3_0.1mm,3,0.1,amount,2452688,0.2746268583692667,0.6442001766778408,0.39579402883814613,1.4412065563738727,0.5054708225973485,0.39347124443639453,0.44249399574756176,,,5
persist_offset5h,h6_0.1mm,6,0.1,amount,2452688,0.3729691668895514,0.6485913484711681,0.5048549897293553,1.3536105248047479,0.652430639658076,0.3739567129475271,0.4754166481366183,,,5
persist_offset5h,h1_1.0mm,1,1.0,amount,2452688,0.04780958686958961,0.6021548551155388,0.06906399279761793,1.4445636810458966,0.08464755772638068,0.37849431188279237,0.13835336952472688,,,5
persist_offset5h,h3_1.0mm,3,1.0,amount,2452688,0.0807232717736622,0.5949031992093848,0.10881358375102679,1.3479828227989352,0.13681156987910217,0.3623130577961402,0.19862220967000593,,,5
persist_offset5h,h6_1.0mm,6,1.0,amount,2452688,0.12408590085652965,0.595018714601899,0.16204467773367084,1.305907251469527,0.20671641933373638,0.35613319138869176,0.26159235691848753,,,5
persist_offset6h,h1_0.1mm,1,0.1,amount,2452576,0.17782486658925145,0.6358207154771456,0.2664530631083943,1.4984015915156599,0.33754341527798176,0.40578131699565956,0.36853021471721925,,,6
persist_offset6h,h3_0.1mm,3,0.1,amount,2452576,0.2746128968072753,0.6381038547627215,0.3846996997851326,1.4008799450344707,0.49582011722363467,0.3859740552835968,0.43405526437503233,,,6
persist_offset6h,h6_0.1mm,6,0.1,amount,2452576,0.37295888078493794,0.6452683831145131,0.4976262817603931,1.3342658062279606,0.6463569312813158,0.37048135474631305,0.470995624065762,,,6
persist_offset6h,h1_1.0mm,1,1.0,amount,2452576,0.04780891601320408,0.5901102022109247,0.06322350092069726,1.3224207154840304,0.0805154330465366,0.3600187625261183,0.13159962091927077,,,6
persist_offset6h,h3_1.0mm,3,1.0,amount,2452576,0.0807212498205968,0.588867474303155,0.10411685800101898,1.2898320855093175,0.13375624884368975,0.3542265437555247,0.1941872314031279,,,6
persist_offset6h,h6_1.0mm,6,1.0,amount,2452576,0.12408504364390746,0.5920417877388864,0.15814649917285925,1.2745008949402437,0.2042544588277255,0.35189006598144107,0.25847639161261127,,,6
