target,scheme,season,rows,base_rate,roc_auc,precision,recall,f1,f1_always_yes,tss,fired_share
h6_0.1mm,monthly_tss,dry,1217664,0.14517633764322507,0.8614772438882057,0.2998856065247358,0.7088575372222473,0.42146739496024427,0.2535440750408766,0.4278023228283836,0.3431619888573531
h6_0.1mm,monthly_precision,all,2453360,0.37303086379495876,0.8614772438882057,0.5777048216661369,0.8977380381324309,0.7030127798958048,0.543368504862197,0.5072943907333277,0.5796801121726938
h6_0.1mm,monthly_precision,wet,1235696,0.5975604032059665,0.8614772438882057,0.5977093673837882,0.9997101853594853,0.7481267415716673,0.7480911544963044,0.0006191062572257211,0.9994610324869547
h6_0.1mm,monthly_precision,dry,1217664,0.14517633764322507,0.8614772438882057,0.44568063526670726,0.47179481377562565,0.45836607952515734,0.2535440750408766,0.3721375980136993,0.15368278934090193
h1_1.0mm,global_f1,all,2453360,0.04780953467897088,0.8724691530540101,0.27602949009054467,0.41974866574590347,0.3330458399710477,0.09125615504848182,0.364471546006992,0.0727023347572309
h1_1.0mm,global_f1,wet,1235696,0.08354320156413875,0.8724691530540101,0.2801792255759741,0.4482341089176047,0.3448203912977059,0.15420372984397987,0.34325751809159905,0.13365342284833812
h1_1.0mm,global_f1,dry,1217664,0.011546699253652896,0.8724691530540101,0.22414837244511734,0.21059743954480797,0.21716171617161714,0.022829789790569967,0.20208218037318673,0.010848641332912856
h1_1.0mm,monthly_f1,all,2453360,0.04780953467897088,0.8724691530540101,0.23143252222009636,0.45375722543352603,0.30652583322294724,0.09125615504848182,0.3780962637997366,0.09373756806991228
h1_1.0mm,monthly_f1,wet,1235696,0.08354320156413875,0.8724691530540101,0.25892126526166337,0.4628223259778755,0.33206957065661213,0.15420372984397987,0.3420659562277205,0.1493336548795173
h1_1.0mm,monthly_f1,dry,1217664,0.011546699253652896,0.8724691530540101,0.11980370150304791,0.3871977240398293,0.18298852120132436,0.022829789790569967,0.35396669456501867,0.037318176442762536
h1_1.0mm,monthly_tss,all,2453360,0.04780953467897088,0.8724691530540101,0.1272707083192704,0.7426381571094856,0.21730111747661585,0.09125615504848182,0.4869450388499843,0.2789737339811524
h1_1.0mm,monthly_tss,wet,1235696,0.08354320156413875,0.8724691530540101,0.17521817774959908,0.7281515779684987,0.28246549501918305,0.15420372984397987,0.4157013588883,0.34717924149629037
h1_1.0mm,monthly_tss,dry,1217664,0.011546699253652896,0.8724691530540101,0.046735704637550654,0.8490042674253201,0.0885944892847203,0.022829789790569967,0.6467134807546211,0.20975819273625565
h1_1.0mm,monthly_precision,all,2453360,0.04780953467897088,0.8724691530540101,0.3416891726000491,0.11865057036165533,0.1761378018528831,0.09125615504848182,0.10717272684182327,0.01660172172041608
h1_1.0mm,monthly_precision,wet,1235696,0.08354320156413875,0.8724691530540101,0.42429825149058753,0.12270182304279598,0.1903552536667468,0.15420372984397987,0.10752515486320142,0.02415966386554622
h1_1.0mm,monthly_precision,dry,1217664,0.011546699253652896,0.8724691530540101,0.11493196027951452,0.08890469416785206,0.10025665704202757,0.022829789790569967,0.08090704710120887,0.00893185640702197
h3_1.0mm,global_f1,all,2453360,0.08073254638536538,0.8588758792807776,0.3082549453589708,0.5400321105086183,0.39247933247470906,0.1494033776541378,0.43360252749194733,0.1414354191802263
h3_1.0mm,global_f1,wet,1235696,0.13935304476181845,0.8588758792807776,0.31145720263658816,0.5748731111859603,0.4040217699624311,0.24461784765046232,0.36909651358069917,0.25721132058370344
h3_1.0mm,global_f1,dry,1217664,0.021243955639651004,0.8588758792807776,0.273347738107487,0.3081026751198392,0.28968650613357566,0.04160407613153501,0.29032530382475175,0.02394502917060864
h3_1.0mm,monthly_f1,all,2453360,0.08073254638536538,0.8588758792807776,0.2860281362328771,0.5311158906627084,0.3718171664475266,0.1494033776541378,0.41468495083845486,0.14990951185313203
h3_1.0mm,monthly_f1,wet,1235696,0.13935304476181845,0.8588758792807776,0.3158170725558413,0.5456160931021267,0.4000655747477608,0.24461784765046232,0.35422786294090397,0.24075096140150976
h3_1.0mm,monthly_f1,dry,1217664,0.021243955639651004,0.8588758792807776,0.1599442286624838,0.4345910004638936,0.2338307940304716,0.04160407613153501,0.3850481256765978,0.05772282008830022
h3_1.0mm,monthly_tss,all,2453360,0.08073254638536538,0.8588758792807776,0.18146342823538955,0.7228853008593096,0.29010323273460376,0.1494033776541378,0.4365168717321093,0.3216095477223074
h3_1.0mm,monthly_tss,wet,1235696,0.13935304476181845,0.8588758792807776,0.2567527061485722,0.7063554745118991,0.3766112327265634,0.24461784765046232,0.37527539725740494,0.38337584648651446
h3_1.0mm,monthly_tss,dry,1217664,0.021243955639651004,0.8588758792807776,0.06833751998173099,0.8329209834544611,0.1263117166340325,0.04160407613153501,0.5864509499923585,0.25892857142857145
h3_1.0mm,monthly_precision,all,2453360,0.08073254638536538,0.8588758792807776,0.392064006919667,0.18308038734563226,0.2496042071063754,0.1494033776541378,0.1581488263163385,0.03769931848566863
h3_1.0mm,monthly_precision,wet,1235696,0.13935304476181845,0.8588758792807776,0.4435882236712112,0.19555976259886873,0.2714488962690387,0.24461784765046232,0.1558417753530065,0.061435013142391005
h3_1.0mm,monthly_precision,dry,1217664,0.021243955639651004,0.8588758792807776,0.156078431372549,0.10000773156022885,0.12190467214852861,0.04160407613153501,0.08827082356590768,0.013612129454430778
h6_1.0mm,global_f1,all,2453360,0.12410041738676754,0.8441481216431072,0.3613430120030442,0.6144194861116129,0.4550619401215084,0.2207995219417635,0.4605572954156419,0.21101754328757297
h6_1.0mm,global_f1,wet,1235696,0.2121897295127604,0.8441481216431072,0.36393616864853057,0.660780619522353,0.46936279323661156,0.3500932640273236,0.3497268277167538,0.385262232782173
h6_1.0mm,global_f1,dry,1217664,0.03470661857458215,0.8441481216431072,0.3316920859853489,0.3267788268143205,0.3292171259654811,0.06708494553247217,0.30310609499383,0.034192519447072425
h6_1.0mm,monthly_f1,all,2453360,0.12410041738676754,0.8441481216431072,0.304665543306164,0.6490805122461514,0.41468578718975313,0.2207995219417635,0.4391923696315915,0.2643920989989239
h6_1.0mm,monthly_f1,wet,1235696,0.2121897295127604,0.8441481216431072,0.34807042745661376,0.683842991281531,0.46132847575455843,0.3500932640273236,0.3388639775433878,0.4168824694746928
h6_1.0mm,monthly_f1,dry,1217664,0.03470661857458215,0.8441481216431072,0.13718925315896308,0.4334019545207165,0.20840871593559768,0.06708494553247217,0.3353989717139685,0.10964354698833176
h6_1.0mm,monthly_tss,all,2453360,0.12410041738676754,0.8441481216431072,0.23366322262109995,0.7296420254677908,0.3539698498867897,0.2207995219417635,0.39059645930058967,0.3875187497961979
h6_1.0mm,monthly_tss,wet,1235696,0.2121897295127604,0.8441481216431072,0.3333924803971844,0.7165811092211348,0.4550643097524853,0.3500932640273236,0.3306742623376409,0.45607252916574953
h6_1.0mm,monthly_tss,dry,1217664,0.03470661857458215,0.8441481216431072,0.0884914608064966,0.8106765102576844,0.1595651779039954,0.06708494553247217,0.5104424628713837,0.3179497792494481
h6_1.0mm,monthly_precision,all,2453360,0.12410041738676754,0.8441481216431072,0.3411838801036577,0.2793475726114503,0.3071847149861398,0.2207995219417635,0.20292185281194386,0.10160840643036488
h6_1.0mm,monthly_precision,wet,1235696,0.2121897295127604,0.8441481216431072,0.4667486269733667,0.3098603366869818,0.37245742315538544,0.3500932640273236,0.2145110073639454,0.14086636195310173
h6_1.0mm,monthly_precision,dry,1217664,0.03470661857458215,0.8441481216431072,0.0505889860930146,0.09003573034239606,0.06477974037029155,0.06708494553247217,0.029282950232084964,0.061769092294754545
