target,season,base_rate,threshold,precision,recall,f1,fired_share
h6_0.1mm,all,0.37303086379495876,0.1,0.5101138763314654,0.9694966776991167,0.6684917284543131,0.7089636253953762
h6_0.1mm,all,0.37303086379495876,0.15,0.5399890409601853,0.9529709488526288,0.6893605618973997,0.6583236866990576
h6_0.1mm,all,0.37303086379495876,0.2,0.5756656816282529,0.9265706490205741,0.7101345019592014,0.60041697916327
h6_0.1mm,all,0.37303086379495876,0.25,0.5969084997169114,0.9054654881722592,0.7195013364810933,0.5658598819578048
h6_0.1mm,all,0.37303086379495876,0.3,0.616603171763461,0.881252738535303,0.7255480717070043,0.5331378191541396
h6_0.1mm,all,0.37303086379495876,0.35,0.6381612514252434,0.8500806945963576,0.7290327507919573,0.4969062836273519
h6_0.1mm,all,0.37303086379495876,0.4,0.6612358127822284,0.8102578839767958,0.7282009180938334,0.45710046629927936
h6_0.1mm,all,0.37303086379495876,0.45,0.6860243048712228,0.7606828828021622,0.7214271835353674,0.4136270257931979
h6_0.1mm,all,0.37303086379495876,0.5,0.7113010005656909,0.7034580120391748,0.7073577667452083,0.3689177291551179
h6_0.1mm,all,0.37303086379495876,0.55,0.7335445858295786,0.647541082127103,0.6878650121673141,0.3292953337463723
h6_0.1mm,all,0.37303086379495876,0.6,0.7587151666312275,0.5770313785609154,0.6555172612830008,0.2837039814784622
h6_0.1mm,all,0.37303086379495876,0.65,0.7873762176958377,0.49157596492052374,0.6052692653098292,0.23289121857371115
h6_0.1mm,all,0.37303086379495876,0.7,0.8221096084886047,0.3910437193161119,0.5299920325333286,0.17743543548439691
h6_0.1mm,all,0.37303086379495876,0.75,0.8475023409664785,0.31943477724029945,0.4639868203237464,0.14060023804089086
h6_0.1mm,all,0.37303086379495876,0.8,0.8821273793795,0.2239692999948644,0.3572372204890461,0.09471133465940587
h6_0.1mm,all,0.37303086379495876,0.85,0.9135003426482906,0.14419802027800027,0.24907846234860453,0.05888373495940261
h6_0.1mm,all,0.37303086379495876,0.9,0.94024831243973,0.0852325064277043,0.1562968684722268,0.03381484983858871
h6_0.1mm,wet,0.5975604032059665,0.05,0.5980548690244454,0.999832070021384,0.7484314729302994,0.9990054188085096
h6_0.1mm,wet,0.5975604032059665,0.1,0.6003028816068187,0.999034402622958,0.7499646717830736,0.9944703227978402
h6_0.1mm,wet,0.5975604032059665,0.15,0.6042231079619763,0.9973388515485446,0.7525343331182324,0.9863413007730056
h6_0.1mm,wet,0.5975604032059665,0.2,0.6173061125140719,0.989167162105246,0.7601980625671636,0.9575267703383357
h6_0.1mm,wet,0.5975604032059665,0.25,0.6291753257951737,0.9782801532496482,0.7658187018722863,0.9291233442529554
h6_0.1mm,wet,0.5975604032059665,0.3,0.6423804845245187,0.9624906724376797,0.7705107314423617,0.8953359078608331
h6_0.1mm,wet,0.5975604032059665,0.35,0.6586972571384049,0.9388369223852016,0.7742047883567748,0.8516989615568877
h6_0.1mm,wet,0.5975604032059665,0.4,0.6777074985776829,0.905013928708307,0.7750381276566134,0.797985103132162
h6_0.1mm,wet,0.5975604032059665,0.45,0.6993542966398285,0.8589577777988443,0.7709826836222232,0.733932941435434
h6_0.1mm,wet,0.5975604032059665,0.5,0.7221996844714897,0.8028325995425263,0.7603844930376695,0.6642774598283073
h6_0.1mm,wet,0.5975604032059665,0.55,0.7427581405139332,0.7454790947490734,0.7441161302619581,0.5997494529398817
h6_0.1mm,wet,0.5975604032059665,0.6,0.7665459757926821,0.6706243067809855,0.7153840708578265,0.5227847302249097
h6_0.1mm,wet,0.5975604032059665,0.65,0.7943302973454822,0.5774394199373513,0.6687385212823854,0.4343972951276042
h6_0.1mm,wet,0.5975604032059665,0.7,0.8278302057432538,0.4648599748375887,0.5953864806781342,0.3355542139814323
h6_0.1mm,wet,0.5975604032059665,0.75,0.8519008673055647,0.3827042956217675,0.5281463761073524,0.2684454752625241
h6_0.1mm,wet,0.5975604032059665,0.8,0.8853916981399093,0.2711297218456588,0.4151345590194511,0.18298837254470354
h6_0.1mm,wet,0.5975604032059665,0.85,0.9158613489835362,0.1758362303511768,0.29502970452265415,0.11472562830987557
h6_0.1mm,wet,0.5975604032059665,0.9,0.9416075332510961,0.10440910993048512,0.18797483786024285,0.06625982442283539
h6_0.1mm,dry,0.14517633764322507,0.05,0.22543033766474316,0.9363375118794407,0.36337531900880876,0.6029980355828866
h6_0.1mm,dry,0.14517633764322507,0.1,0.2930046230998276,0.846115988595737,0.43527593793288094,0.41922894985808895
h6_0.1mm,dry,0.14517633764322507,0.15,0.34243111684208666,0.7676437978006064,0.47359888877837164,0.32544856380742143
h6_0.1mm,dry,0.14517633764322507,0.2,0.4056695890997043,0.6651015975019233,0.5039573256065649,0.23801886234626302
h6_0.1mm,dry,0.14517633764322507,0.25,0.4426427476847225,0.6013146580983844,0.5099203684160031,0.19721696625670135
h6_0.1mm,dry,0.14517633764322507,0.3,0.47515078168399333,0.5419174548581256,0.5063426288082201,0.16557605382108692
h6_0.1mm,dry,0.14517633764322507,0.35,0.5084698978091677,0.4793410870253881,0.49347601368566646,0.13685959345106696
h6_0.1mm,dry,0.14517633764322507,0.4,0.5412477375983452,0.4144567135810291,0.46944169461877805,0.11116777698938295
h6_0.1mm,dry,0.14517633764322507,0.45,0.5739398097498563,0.3501832827985699,0.4349726315197763,0.08857780142962263
h6_0.1mm,dry,0.14517633764322507,0.5,0.605106655745878,0.28836493641670813,0.39059225573617246,0.06918410990223904
h6_0.1mm,dry,0.14517633764322507,0.55,0.6312825735338166,0.2384486581888944,0.3461494243434559,0.054836145274887
h6_0.1mm,dry,0.14517633764322507,0.6,0.657591204397801,0.18608860931348148,0.2900869043787285,0.04108276174708294
h6_0.1mm,dry,0.14517633764322507,0.65,0.6794378740999913,0.13291962709870117,0.22234208148221746,0.028401102438768002
h6_0.1mm,dry,0.14517633764322507,0.7,0.7073536526366715,0.08270919129293569,0.1481012530008205,0.016975126143172502
h6_0.1mm,dry,0.14517633764322507,0.75,0.7371843338877968,0.055154545865954654,0.10263049862633025,0.01086178124671502
h6_0.1mm,dry,0.14517633764322507,0.8,0.7638955630305942,0.026977644024075667,0.05211480775220059,0.005127030116682435
h6_0.1mm,dry,0.14517633764322507,0.85,0.7893956247682611,0.012043490066524868,0.023725017133496406,0.0022148967202775148
h6_0.1mm,dry,0.14517633764322507,0.9,0.8374884579870729,0.005130786984658551,0.01019909029062347,0.0008894079154840744
h1_1.0mm,all,0.04780953467897088,0.05,0.1374239121338625,0.8540249288113629,0.23675139236676945,0.2971137541983239
h1_1.0mm,all,0.04780953467897088,0.1,0.19727320343872395,0.6454123825600627,0.3021828552952752,0.15641691394658755
h1_1.0mm,all,0.04780953467897088,0.15,0.2527409401997083,0.4801353862942691,0.3311605643906985,0.09082442038673492
h1_1.0mm,all,0.04780953467897088,0.2,0.30876488005317543,0.348508875134278,0.32743525868490825,0.0539635438745231
h1_1.0mm,all,0.04780953467897088,0.25,0.3416734860883797,0.2847715995703105,0.31063825829791586,0.03984739296311997
h1_1.0mm,all,0.04780953467897088,0.3,0.3974918404995033,0.19104984057155525,0.2580641446421374,0.022979098053282028
h1_1.0mm,all,0.04780953467897088,0.35,0.446824857421471,0.12891537504049652,0.20009924901578058,0.013793735937652851
h1_1.0mm,all,0.04780953467897088,0.4,0.4886352357320099,0.08394291268095555,0.1432728965978871,0.00821322594319627
h1_1.0mm,all,0.04780953467897088,0.45,0.5251182698806037,0.059619417873036984,0.10708133311895628,0.005428065999282617
h1_1.0mm,all,0.04780953467897088,0.5,0.5638210266264068,0.03502310433611267,0.0659495906244983,0.0029698046760361302
h1_1.0mm,all,0.04780953467897088,0.55,0.6006630500301386,0.016991491465889134,0.03304812124830033,0.00135243095183748
h1_1.0mm,all,0.04780953467897088,0.6,0.6330935251798561,0.009753269561955429,0.019210585973249594,0.0007365409071640526
h1_1.0mm,all,0.04780953467897088,0.65,0.6770186335403726,0.003717155182703293,0.007393715341959335,0.0002624971467701438
h1_1.0mm,all,0.04780953467897088,0.7,,0.0,0.0,0.0
