target,scheme,month,threshold,base_rate,rows
h1_0.1mm,monthly_tss,7,0.30532214045524597,0.2855796237159017,207928
h1_0.1mm,monthly_tss,8,0.2880758047103882,0.271150153609831,208320
h1_0.1mm,monthly_tss,9,0.44664913415908813,0.4324801587301587,201600
h1_0.1mm,monthly_tss,10,0.32861778140068054,0.31663306451612905,208320
h1_0.1mm,monthly_tss,11,0.140359565615654,0.14165178571428572,201600
h1_0.1mm,monthly_tss,12,0.026639344170689583,0.024452764976958526,208320
h1_0.1mm,monthly_precision,1,0.07571396976709366,0.0107286866359447,208320
h1_0.1mm,monthly_precision,2,0.47115904092788696,0.05054246876055387,189504
h1_0.1mm,monthly_precision,3,0.46929240226745605,0.04800787250384025,208320
h1_0.1mm,monthly_precision,4,0.30198198556900024,0.059712301587301585,201600
h1_0.1mm,monthly_precision,5,0.3130679428577423,0.2532786098310292,208320
h1_0.1mm,monthly_precision,6,0.4523553252220154,0.233872410639736,201208
h1_0.1mm,monthly_precision,7,0.35980361700057983,0.2855796237159017,207928
h1_0.1mm,monthly_precision,8,0.30532214045524597,0.271150153609831,208320
h1_0.1mm,monthly_precision,9,0.2149564027786255,0.4324801587301587,201600
h1_0.1mm,monthly_precision,10,0.334624320268631,0.31663306451612905,208320
h1_0.1mm,monthly_precision,11,0.5185185074806213,0.14165178571428572,201600
h1_0.1mm,monthly_precision,12,0.35980361700057983,0.024452764976958526,208320
h3_0.1mm,global_f1,1,0.3265325129032135,0.022215821812596005,208320
h3_0.1mm,global_f1,2,0.3265325129032135,0.08526469098277609,189504
h3_0.1mm,global_f1,3,0.3265325129032135,0.08418778801843319,208320
h3_0.1mm,global_f1,4,0.3265325129032135,0.10381448412698413,201600
h3_0.1mm,global_f1,5,0.3265325129032135,0.3888104838709677,208320
h3_0.1mm,global_f1,6,0.3265325129032135,0.37915490437755955,201208
h3_0.1mm,global_f1,7,0.3265325129032135,0.43445808164364585,207928
h3_0.1mm,global_f1,8,0.3265325129032135,0.41728590629800305,208320
h3_0.1mm,global_f1,9,0.3265325129032135,0.6015376984126984,201600
h3_0.1mm,global_f1,10,0.3265325129032135,0.47846102150537634,208320
h3_0.1mm,global_f1,11,0.3265325129032135,0.24029761904761904,201600
h3_0.1mm,global_f1,12,0.3265325129032135,0.05118567588325653,208320
h3_0.1mm,monthly_f1,1,0.07275103777647018,0.022215821812596005,208320
h3_0.1mm,monthly_f1,2,0.21538209915161133,0.08526469098277609,189504
h3_0.1mm,monthly_f1,3,0.22098951041698456,0.08418778801843319,208320
h3_0.1mm,monthly_f1,4,0.21538209915161133,0.10381448412698413,201600
h3_0.1mm,monthly_f1,5,0.3148120939731598,0.3888104838709677,208320
h3_0.1mm,monthly_f1,6,0.29105934500694275,0.37915490437755955,201208
h3_0.1mm,monthly_f1,7,0.3346153795719147,0.43445808164364585,207928
h3_0.1mm,monthly_f1,8,0.3584875464439392,0.41728590629800305,208320
h3_0.1mm,monthly_f1,9,0.38502538204193115,0.6015376984126984,201600
h3_0.1mm,monthly_f1,10,0.3265325129032135,0.47846102150537634,208320
h3_0.1mm,monthly_f1,11,0.25609755516052246,0.24029761904761904,201600
h3_0.1mm,monthly_f1,12,0.15399795770645142,0.05118567588325653,208320
h3_0.1mm,monthly_tss,1,0.026647966355085373,0.022215821812596005,208320
h3_0.1mm,monthly_tss,2,0.08920007944107056,0.08526469098277609,189504
h3_0.1mm,monthly_tss,3,0.09360465407371521,0.08418778801843319,208320
h3_0.1mm,monthly_tss,4,0.09937276691198349,0.10381448412698413,201600
h3_0.1mm,monthly_tss,5,0.3840000033378601,0.3888104838709677,208320
h3_0.1mm,monthly_tss,6,0.3681831955909729,0.37915490437755955,201208
h3_0.1mm,monthly_tss,7,0.4512195289134979,0.43445808164364585,207928
h3_0.1mm,monthly_tss,8,0.4319066107273102,0.41728590629800305,208320
h3_0.1mm,monthly_tss,9,0.5928853750228882,0.6015376984126984,201600
h3_0.1mm,monthly_tss,10,0.47742408514022827,0.47846102150537634,208320
h3_0.1mm,monthly_tss,11,0.24862553179264069,0.24029761904761904,201600
