horizon_h,target_column,rows,rain_rate,roc_auc,pr_auc,brier_score,threshold,predicted_rain_rate,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives
2,rain_next_2h,402696,0.18904334783558813,0.863552448822504,0.6017513927621176,0.10851085783732373,0.35,0.18124341935355703,0.8375722629477322,0.5734250404187105,0.549765523401684,0.5613460932313078,0.9046633330169122,0.0953366669830878,0.45023447659831595,295435,31134,34275,41852
2,rain_next_2h,402696,0.18904334783558813,0.863552448822504,0.6017513927621176,0.10851085783732373,0.4,0.1584793491864831,0.8423972425849773,0.5991945972202636,0.5023184940953932,0.5464965057950923,0.921673520756716,0.07832647924328397,0.4976815059046068,300990,25579,37887,38240
2,rain_next_2h,402696,0.18904334783558813,0.863552448822504,0.6017513927621176,0.10851085783732373,0.45,0.13761249180523275,0.845051850527445,0.623881189548145,0.45414898787552377,0.5256532084565503,0.9361758158306515,0.0638241841693486,0.5458510121244762,305726,20843,41554,34573
2,rain_next_2h,402696,0.18904334783558813,0.863552448822504,0.6017513927621176,0.10851085783732373,0.5,0.11789786836720503,0.8459632079782268,0.6484613602375887,0.40441630433354786,0.49815539950163423,0.9488928832804093,0.05110711671959065,0.5955836956664521,309879,16690,45340,30787
3,rain_next_3h,402640,0.1889951321279555,0.8404149124973447,0.5405552713972421,0.11710631801566243,0.1,0.47038793959864894,0.6745777866083846,0.35498450345042426,0.8835170900298304,0.506474722592601,0.6258869429141032,0.3741130570858968,0.11648290997016965,204379,122164,8864,67233
3,rain_next_3h,402640,0.1889951321279555,0.8404149124973447,0.5405552713972421,0.11710631801566243,0.15,0.37034571825948737,0.7380314921517981,0.401479385176641,0.7867195815866591,0.5316478178435525,0.7266853063761893,0.27331469362381067,0.21328041841334086,237294,89249,16230,59867
3,rain_next_3h,402640,0.1889951321279555,0.8404149124973447,0.5405552713972421,0.11710631801566243,0.2,0.29545748062785615,0.7766888535664613,0.44192732194043527,0.6908682339645452,0.5390443965959192,0.796688338136172,0.20331166186382804,0.3091317660354547,260153,66390,23524,52573
3,rain_next_3h,402640,0.1889951321279555,0.8404149124973447,0.5405552713972421,0.11710631801566243,0.25,0.2426981919332406,0.8000273196900457,0.47738436348751534,0.6130333653100648,0.5367714320233349,0.8436040582710393,0.15639594172896065,0.3869666346899352,275473,51070,29447,46650
3,rain_next_3h,402640,0.1889951321279555,0.8404149124973447,0.5405552713972421,0.11710631801566243,0.3,0.2049746671965031,0.8129793363798927,0.5048163720299039,0.5474985873293297,0.5252918778525859,0.8748464980109817,0.12515350198901828,0.45250141267067034,285675,40868,34434,41663
3,rain_next_3h,402640,0.1889951321279555,0.8404149124973447,0.5405552713972421,0.11710631801566243,0.35,0.17577736936220942,0.820921915358633,0.5282091133874955,0.49126772408899166,0.5090691214118416,0.8977439418392065,0.10225605816079353,0.5087322759110083,293152,33391,38713,37384
3,rain_next_3h,402640,0.1889951321279555,0.8404149124973447,0.5405552713972421,0.11710631801566243,0.4,0.1504992052453805,0.826445459964236,0.5512979190388964,0.43900547984808863,0.4887851697953092,0.9167337839120728,0.08326621608792717,0.5609945201519114,299353,27190,42690,33407
3,rain_next_3h,402640,0.1889951321279555,0.8404149124973447,0.5405552713972421,0.11710631801566243,0.45,0.12791327240214584,0.8302900854361216,0.5753839582160263,0.38942402460018133,0.46448275862068966,0.9330287282226231,0.06697127177737694,0.6105759753998187,304674,21869,46463,29634
3,rain_next_3h,402640,0.1889951321279555,0.8404149124973447,0.5405552713972421,0.11710631801566243,0.5,0.10749304589707928,0.8320882177627658,0.5980684364963841,0.3401579562926265,0.4336644942954313,0.9467267710531232,0.053273228946876826,0.6598420437073735,309147,17396,50212,25885
4,rain_next_4h,402584,0.18897671045048983,0.8267479308441452,0.5036816352254383,0.12147882656873782,0.1,0.480178049798303,0.6631982393736462,0.3460726700877338,0.879349097648497,0.4966758354956179,0.6128328815791488,0.3871671184208511,0.12065090235150304,200093,126412,9179,66900
4,rain_next_4h,402584,0.18897671045048983,0.8267479308441452,0.5036816352254383,0.12147882656873782,0.15,0.38207430002185877,0.7240973312401884,0.3862446933693935,0.7809119467921503,0.5168510978877405,0.7108589454985376,0.28914105450146244,0.21908805320784974,232099,94406,16668,59411
4,rain_next_4h,402584,0.18897671045048983,0.8267479308441452,0.5036816352254383,0.12147882656873782,0.2,0.306805536235916,0.762091886413767,0.4202566489900012,0.6822907766926485,0.5201358758279307,0.7806863600863693,0.21931363991363073,0.3177092233073516,254898,71607,24171,51908
4,rain_next_4h,402584,0.18897671045048983,0.8267479308441452,0.5036816352254383,0.12147882656873782,0.25,0.2501962323390895,0.7863352741291258,0.45066269545793003,0.596656107467238,0.5134838578312708,0.8305324573896264,0.1694675426103735,0.403343892532762,271173,55332,30686,45393
4,rain_next_4h,402584,0.18897671045048983,0.8267479308441452,0.5036816352254383,0.12147882656873782,0.3,0.20647616398068477,0.8027070126979711,0.4798614118666089,0.5242971122123057,0.5010960848727725,0.8675793632563055,0.1324206367436946,0.4757028877876944,283269,43236,36191,39888
4,rain_next_4h,402584,0.18897671045048983,0.8267479308441452,0.5036816352254383,0.12147882656873782,0.35,0.17311666633547285,0.8128465115354808,0.5052658765460442,0.4628609734617963,0.48313473688543146,0.8943967167424695,0.10560328325753052,0.5371390265382037,292025,34480,40865,35214
4,rain_next_4h,402584,0.18897671045048983,0.8267479308441452,0.5036816352254383,0.12147882656873782,0.4,0.14538829163603123,0.8194712159449953,0.5290529804718866,0.40702427739586483,0.4600846891018498,0.9155755654584157,0.08442443454158435,0.5929757226041352,298940,27565,45113,30966
4,rain_next_4h,402584,0.18897671045048983,0.8267479308441452,0.5036816352254383,0.12147882656873782,0.45,0.12173111698428155,0.8232965045804106,0.5504111657518314,0.35455250463334165,0.4312872743552436,0.9325186444311726,0.06748135556882744,0.6454474953666584,304472,22033,49105,26974
4,rain_next_4h,402584,0.18897671045048983,0.8267479308441452,0.5036816352254383,0.12147882656873782,0.5,0.1002101424795819,0.825229020527393,0.57087970651662,0.30272479922186146,0.3956468708663311,0.9469778410744093,0.05302215892559073,0.6972752007781385,309193,17312,53048,23031
5,rain_next_5h,402528,0.1890005167342396,0.8195613341405006,0.4827039318695915,0.12352484879732163,0.1,0.48656242547102313,0.6553655894745211,0.34006790738046005,0.8754699124582666,0.48985595716591956,0.6040710675448001,0.3959289324551999,0.12453008754173349,197199,129251,9474,66604
