feature,rows,day0_mean,alt_mean,bias_alt_minus_day0,mae,pearson_r
neighbor_dew_point_2m_mean,599760,23.28275203970477,23.432086755337053,0.14933471563228465,0.5542923276453439,0.8404497278927296
neighbor_temperature_dew_point_spread_mean,599760,4.072472986813773,3.572573980385805,-0.49989900642796803,1.0666423644854766,0.8894198999561852
neighbor_wind_speed_10m_mean,599760,8.840216033635677,8.887867456903395,0.04765142326771979,1.8189750566893423,0.8171839077174248
neighbor_wind_speed_10m_max,599760,12.55015706282513,12.609240696278514,0.05908363345338135,2.457227224223023,0.7376345627029509
row_minus_precipitation_mean,599760,0.2561008847983638,0.29284783357787564,0.036746948779511804,0.3279974489795918,0.2817627705558152
row_plus_precipitation_mean,599760,0.2587848472722422,0.29769204904183894,0.038907201769596736,0.3320742463652127,0.2859712875079462
column_minus_precipitation_mean,599760,0.26395911142234674,0.30248113134142546,0.03852201991907874,0.33268385131830513,0.29450565529134665
column_plus_precipitation_mean,599760,0.24288048552754435,0.2758740440620693,0.032993558534524924,0.3119050120048019,0.2907501767964944
row_minus_cloud_cover_mean,599760,85.00005641145347,84.54607676403894,-0.45397964741452135,12.442190487306032,0.6054821888801301
row_plus_cloud_cover_mean,599760,84.6266273175937,84.37223972922503,-0.2543875883686808,12.479216964563602,0.6150534434397062
column_minus_cloud_cover_mean,599760,85.27316926770709,85.0993683584545,-0.1738009092525899,11.934749177448758,0.6187687543082713
column_plus_cloud_cover_mean,599760,84.383380574452,83.8870734404873,-0.49630713396469694,12.493345393713042,0.6239752160186185
neighbor_precipitation_mean_minus_center,599760,-0.0011991949557600813,-0.0016567573457954606,-0.00045756239003537884,0.323101689485318,0.06013448317245087
neighbor_cloud_cover_mean_minus_center,599760,-0.016499935291576957,-0.02788366338598933,-0.011383728094412375,7.819858225036045,0.0685703115751215
neighbor_relative_humidity_mean_minus_center,599760,-0.028394973068592518,-0.03228950508774938,-0.0038945320191568623,3.3381862129772544,0.4990695867587244
center_pressure_msl_minus_neighbor_mean,599760,0.005199144538767877,0.0052654335543740015,6.62890156061245e-05,0.10489692642930569,0.9544907097127039
