model,features,horizon_h,label_source,threshold,rows,base_rate,roc_auc,pr_auc,pr_auc_lift,precision,recall,f1,csi,ets,hss,pss,true_positives,false_positives,false_negatives,true_negatives
BKK_Rain_V0,36,6,tmd_gauge,0.35,7157,0.12700852312421407,0.8109703575991402,0.3645882724138313,2.870581150347404,0.25,0.7854785478547854,0.37928286852589643,0.23402163225172073,0.13066562757618894,0.2311304498683615,0.4426488423490236,714,2142,195,4106
BKK_Rain_V0,36,6,open_meteo,0.35,7157,0.40072656140841134,0.8995781755605222,0.8491850727138436,2.119113516531722,0.7762605042016807,0.7730125523012552,0.7746331236897275,0.632164242942686,0.4539740182963796,0.6244596018686781,0.624026774730726,2217,639,651,3650
BKK_Rain_V1,66,1,imerg,0.6,7157,0.14838619533324018,0.7168413181747257,0.29778737712305514,2.0068401676739223,0.30059970014992504,0.3775894538606403,0.3347245409015025,0.20100250626566415,0.11299212448432365,0.20304209167100018,0.2245131618179824,401,933,661,5162
BKK_Rain_V1,66,1,tmd_gauge,0.6,7157,0.03926226072376694,0.8251184169394189,0.20919877703191514,5.328240737428529,0.12143928035982009,0.5765124555160143,0.20061919504643963,0.11149346180316587,0.07826806688209721,0.14517367116030044,0.4060645206701736,162,1172,119,5704
BKK_Rain_V1,66,1,open_meteo,0.6,7157,0.1842950957104932,0.9234632655621415,0.736933212503073,3.998658833877554,0.6739130434782609,0.6815769522365428,0.6777233320768941,0.5125427594070695,0.4330803925797622,0.6044048817109998,0.6070651331204071,899,435,420,5403
BKK_Rain_V1,66,2,imerg,0.55,7157,0.20245913092077686,0.7253577969582965,0.39170155038002963,1.9347191139198565,0.3710162357185809,0.42581090407177363,0.39652956298200515,0.2472945891783567,0.12987495070249114,0.229892610012714,0.2425593273373658,617,1046,832,4662
BKK_Rain_V1,66,2,tmd_gauge,0.55,7157,0.05952214615062177,0.8224300988419497,0.25914806362847026,4.353809134715872,0.16596512327119664,0.647887323943662,0.26424126376256585,0.15223386651958082,0.10327488670400252,0.18721515000224986,0.44182581748102645,276,1387,150,5344
BKK_Rain_V1,66,2,open_meteo,0.55,7157,0.2460528154254576,0.9105592339415616,0.7762351635680242,3.154750179248353,0.7131689717378232,0.673480976717774,0.6927570093457944,0.5299374441465594,0.42476386150229095,0.596258612363194,0.5850821627815249,1186,477,575,4919
BKK_Rain_V1,66,3,imerg,0.35,7157,0.2474500489031717,0.7204437419891334,0.43955456081281574,1.7763365283666417,0.40738940204180846,0.4731789949181254,0.4378265412748171,0.2802675585284281,0.13260615855065444,0.23416111160890138,0.24685147913646924,838,1219,933,4167
BKK_Rain_V1,66,3,tmd_gauge,0.35,7157,0.07768618136090541,0.8244022869872561,0.3183251405083687,4.097577393198551,0.19543023821098687,0.7230215827338129,0.3076923076923077,0.18181818181818182,0.11807701883493234,0.21121446348655284,0.4723019947925919,402,1655,154,4946
BKK_Rain_V1,66,3,open_meteo,0.35,7157,0.2938382003632807,0.905477053245773,0.795129179563476,2.70601024162425,0.7297034516285853,0.7137422729434142,0.7216346153846154,0.5644979315532155,0.4363797377037051,0.6076105451074262,0.6037304011586893,1501,556,602,4498
BKK_Rain_V1,66,6,imerg,0.35,7157,0.3550370266871594,0.7210686679530227,0.5543020858286454,1.5612514869246812,0.5006939625260236,0.5678866587957497,0.5321777613866864,0.36256281407035174,0.14197296455133232,0.24864505370687442,0.25614489103145166,1443,1439,1098,3177
BKK_Rain_V1,66,6,tmd_gauge,0.35,7157,0.12700852312421407,0.810183835284937,0.38177490267083486,3.005899866243306,0.24843858431644691,0.7876787678767877,0.3777367449221841,0.23284552845528456,0.12918657004832415,0.22881350783829377,0.441007833177684,716,2166,193,4082
BKK_Rain_V1,66,6,open_meteo,0.35,7157,0.40072656140841134,0.9061421111318142,0.8566401173725474,2.1377173361350494,0.7869535045107564,0.7907949790794979,0.7888695652173913,0.6513497989661114,0.47832201287557713,0.6471147810958493,0.6476380660461568,2268,614,600,3675
TMD_BKK_V0,40,1,imerg,0.85,7157,0.14838619533324018,0.7096622992202866,0.3368054463766282,2.2697896230861843,0.5772357723577236,0.1337099811676083,0.21712538226299694,0.12178387650085763,0.09340174991742754,0.17084616871059727,0.11664681463766571,142,104,920,5991
TMD_BKK_V0,40,1,tmd_gauge,0.85,7157,0.03926226072376694,0.9040289707456334,0.4823146073730697,12.284432900245765,0.5447154471544715,0.47686832740213525,0.50853889943074,0.34096692111959287,0.32436219166598323,0.4898390994656098,0.46057978755338597,134,112,147,6764
TMD_BKK_V0,40,1,open_meteo,0.85,7157,0.1842950957104932,0.7791258599315718,0.4144399231554724,2.24878432905513,0.5609756097560976,0.10462471569370735,0.17635782747603834,0.09670637701471618,0.06706655616866554,0.12570266733777133,0.08612522956832194,138,108,1181,5730
TMD_BKK_V0,40,2,imerg,0.8,7157,0.20245913092077686,0.7059127358935409,0.3978290599430592,1.964984528649051,0.6205673758865248,0.12077294685990338,0.2021952628538417,0.11246786632390746,0.07866169311259831,0.14585053611315563,0.10202732667770295,175,107,1274,5601
TMD_BKK_V0,40,2,tmd_gauge,0.8,7157,0.05952214615062177,0.868421144407175,0.44010655259968956,7.393996706469432,0.5602836879432624,0.37089201877934275,0.4463276836158192,0.2872727272727273,0.26483654759764774,0.41876801884110937,0.3524697932556464,158,124,268,6607
TMD_BKK_V0,40,2,open_meteo,0.8,7157,0.2460528154254576,0.7828744787082278,0.4963035977585309,2.0170612431333366,0.624113475177305,0.09994321408290743,0.17229564366128242,0.09426888055704338,0.059308149062334614,0.11197525312126083,0.08029903320818542,176,106,1585,5290
