model,horizon_h,feature,importance,is_neighbor_feature
lightgbm,5,precipitation_sum_past_24h,3806.0,False
lightgbm,5,cloud_cover_lag_1h,1489.0,False
lightgbm,5,cloud_cover_lag_3h,2039.0,False
lightgbm,5,cloud_cover_lag_6h,2506.0,False
lightgbm,5,humidity_lag_1h,1615.0,False
lightgbm,5,humidity_lag_3h,2712.0,False
lightgbm,5,humidity_lag_6h,3670.0,False
lightgbm,5,wind_speed_lag_1h,2581.0,False
lightgbm,5,wind_speed_lag_3h,3811.0,False
lightgbm,5,hour_sin,2863.0,False
lightgbm,5,hour_cos,2569.0,False
lightgbm,5,month_sin,3805.0,False
lightgbm,5,month_cos,3297.0,False
lightgbm,5,grid_row,1299.0,False
lightgbm,5,grid_column,1262.0,False
lightgbm,5,latitude,198.0,False
lightgbm,5,longitude,257.0,False
lightgbm,5,neighbor_count,221.0,True
lightgbm,5,neighbor_precipitation_mean,1185.0,True
lightgbm,5,neighbor_precipitation_max,1024.0,True
lightgbm,5,neighbor_precipitation_sum,421.0,True
lightgbm,5,neighbor_rain_count,287.0,True
lightgbm,5,neighbor_rain_rate,558.0,True
lightgbm,5,neighbor_cloud_cover_mean,1516.0,True
lightgbm,5,neighbor_cloud_cover_max,729.0,True
lightgbm,5,neighbor_relative_humidity_mean,1504.0,True
lightgbm,5,neighbor_relative_humidity_max,1556.0,True
lightgbm,5,neighbor_pressure_msl_mean,4037.0,True
lightgbm,5,neighbor_pressure_msl_min,3253.0,True
lightgbm,5,neighbor_pressure_msl_max,3305.0,True
lightgbm,5,neighbor_temperature_2m_mean,3790.0,True
lightgbm,5,neighbor_dew_point_2m_mean,5703.0,True
lightgbm,5,neighbor_temperature_dew_point_spread_mean,1671.0,True
lightgbm,5,neighbor_wind_speed_10m_mean,3020.0,True
lightgbm,5,neighbor_wind_speed_10m_max,2842.0,True
lightgbm,5,row_minus_precipitation_mean,812.0,True
lightgbm,5,row_plus_precipitation_mean,630.0,True
lightgbm,5,column_minus_precipitation_mean,772.0,True
lightgbm,5,column_plus_precipitation_mean,719.0,True
lightgbm,5,row_minus_cloud_cover_mean,1136.0,True
lightgbm,5,row_plus_cloud_cover_mean,1084.0,True
lightgbm,5,column_minus_cloud_cover_mean,1128.0,True
lightgbm,5,column_plus_cloud_cover_mean,1090.0,True
lightgbm,5,neighbor_precipitation_mean_minus_center,787.0,True
lightgbm,5,neighbor_cloud_cover_mean_minus_center,940.0,True
lightgbm,5,neighbor_relative_humidity_mean_minus_center,1195.0,True
lightgbm,5,center_pressure_msl_minus_neighbor_mean,740.0,True
lightgbm,6,temperature_2m,1920.0,False
lightgbm,6,relative_humidity_2m,412.0,False
lightgbm,6,pressure_msl,1937.0,False
lightgbm,6,surface_pressure,1712.0,False
lightgbm,6,dew_point_2m,1859.0,False
lightgbm,6,precipitation,277.0,False
lightgbm,6,cloud_cover,462.0,False
lightgbm,6,wind_speed_10m,1516.0,False
lightgbm,6,wind_direction_10m,5912.0,False
lightgbm,6,temperature_dew_point_spread,1021.0,False
lightgbm,6,pressure_msl_change_3h,5305.0,False
lightgbm,6,pressure_msl_change_6h,5913.0,False
lightgbm,6,precipitation_lag_1h,692.0,False
lightgbm,6,precipitation_lag_2h,759.0,False
lightgbm,6,precipitation_lag_3h,992.0,False
lightgbm,6,precipitation_lag_6h,1305.0,False
lightgbm,6,precipitation_sum_past_3h,832.0,False
lightgbm,6,precipitation_sum_past_6h,1537.0,False
lightgbm,6,precipitation_sum_past_12h,2253.0,False
lightgbm,6,precipitation_sum_past_24h,3810.0,False
lightgbm,6,cloud_cover_lag_1h,1600.0,False
lightgbm,6,cloud_cover_lag_3h,2048.0,False
lightgbm,6,cloud_cover_lag_6h,2424.0,False
lightgbm,6,humidity_lag_1h,1684.0,False
lightgbm,6,humidity_lag_3h,2796.0,False
lightgbm,6,humidity_lag_6h,3655.0,False
lightgbm,6,wind_speed_lag_1h,2624.0,False
lightgbm,6,wind_speed_lag_3h,3371.0,False
lightgbm,6,hour_sin,2739.0,False
lightgbm,6,hour_cos,2687.0,False
lightgbm,6,month_sin,3837.0,False
lightgbm,6,month_cos,3415.0,False
lightgbm,6,grid_row,1263.0,False
lightgbm,6,grid_column,1229.0,False
lightgbm,6,latitude,189.0,False
lightgbm,6,longitude,242.0,False
lightgbm,6,neighbor_count,164.0,True
lightgbm,6,neighbor_precipitation_mean,1065.0,True
lightgbm,6,neighbor_precipitation_max,997.0,True
lightgbm,6,neighbor_precipitation_sum,485.0,True
lightgbm,6,neighbor_rain_count,226.0,True
lightgbm,6,neighbor_rain_rate,502.0,True
lightgbm,6,neighbor_cloud_cover_mean,1612.0,True
lightgbm,6,neighbor_cloud_cover_max,821.0,True
lightgbm,6,neighbor_relative_humidity_mean,1723.0,True
lightgbm,6,neighbor_relative_humidity_max,1498.0,True
lightgbm,6,neighbor_pressure_msl_mean,4177.0,True
lightgbm,6,neighbor_pressure_msl_min,3250.0,True
lightgbm,6,neighbor_pressure_msl_max,3254.0,True
lightgbm,6,neighbor_temperature_2m_mean,3773.0,True
lightgbm,6,neighbor_dew_point_2m_mean,5821.0,True
lightgbm,6,neighbor_temperature_dew_point_spread_mean,1709.0,True
lightgbm,6,neighbor_wind_speed_10m_mean,3044.0,True
lightgbm,6,neighbor_wind_speed_10m_max,2689.0,True
lightgbm,6,row_minus_precipitation_mean,737.0,True
lightgbm,6,row_plus_precipitation_mean,646.0,True
lightgbm,6,column_minus_precipitation_mean,661.0,True
lightgbm,6,column_plus_precipitation_mean,756.0,True
lightgbm,6,row_minus_cloud_cover_mean,1194.0,True
lightgbm,6,row_plus_cloud_cover_mean,1173.0,True
lightgbm,6,column_minus_cloud_cover_mean,1036.0,True
lightgbm,6,column_plus_cloud_cover_mean,1130.0,True
lightgbm,6,neighbor_precipitation_mean_minus_center,674.0,True
lightgbm,6,neighbor_cloud_cover_mean_minus_center,939.0,True
lightgbm,6,neighbor_relative_humidity_mean_minus_center,1223.0,True
lightgbm,6,center_pressure_msl_minus_neighbor_mean,792.0,True
