model,target_type,feature_set,horizon_h,split,class_id,class_label,rows,class_rate,predicted_class_rate,precision,recall,f1,mean_predicted_probability
lightgbm,exact_hour_intensity,neighbor_grid,3,validation,0,no_rain,368032,0.7313956395096078,0.5590356273367533,0.9019553520654409,0.6894013975934051,0.7814831971700497,0.5007466556583992
lightgbm,exact_hour_intensity,neighbor_grid,3,validation,1,light,368032,0.24456840709503522,0.3256075558647074,0.45153295391958875,0.60115099601151,0.5157093636671226,0.29593909788905853
lightgbm,exact_hour_intensity,neighbor_grid,3,validation,2,moderate,368032,0.02261488131466829,0.11091426832449353,0.06538461538461539,0.3206776402739397,0.1086217772622754,0.1683436718976279
lightgbm,exact_hour_intensity,neighbor_grid,3,validation,3,heavy,368032,0.0014210720806886357,0.004442548474045735,0.0006116207951070336,0.0019120458891013384,0.0009267840593141798,0.03497057455491446
lightgbm,exact_hour_intensity,neighbor_grid,3,test,0,no_rain,368032,0.8376255325623859,0.7825107599339188,0.9196913771012087,0.8591767686433778,0.888404761665174,0.7024734409123797
lightgbm,exact_hour_intensity,neighbor_grid,3,test,1,light,368032,0.1517694113555343,0.17227034605686461,0.41994605763316034,0.47667215697507875,0.4465146699984068,0.18942193774436983
lightgbm,exact_hour_intensity,neighbor_grid,3,test,2,moderate,368032,0.010224654377880185,0.04283866620293887,0.05759228720030445,0.2412968376295509,0.09298991243791285,0.0893211076251947
lightgbm,exact_hour_intensity,neighbor_grid,3,test,3,heavy,368032,0.0003804017041996348,0.002380227806277715,0.00228310502283105,0.014285714285714285,0.003937007874015748,0.018783513718055696
lightgbm,exact_hour_intensity,neighbor_grid,4,validation,0,no_rain,368032,0.731286953308408,0.5417789757412399,0.8961593243460119,0.6639258073026005,0.7627574813938945,0.49026572432364995
lightgbm,exact_hour_intensity,neighbor_grid,4,validation,1,light,368032,0.24465535605599514,0.3315689940005217,0.4294833972530894,0.5820570628935707,0.49426365946932366,0.3003078229929068
lightgbm,exact_hour_intensity,neighbor_grid,4,validation,2,moderate,368032,0.02263661855490827,0.12045419963481437,0.06210101283526201,0.3304525267074781,0.10455356803767422,0.1724791329217424
lightgbm,exact_hour_intensity,neighbor_grid,4,validation,3,heavy,368032,0.0014210720806886357,0.00619783062342405,0.00394563787812363,0.017208413001912046,0.006419400855920114,0.03694731976170087
lightgbm,exact_hour_intensity,neighbor_grid,4,test,0,no_rain,368032,0.8376717241978958,0.7753782279801756,0.9159074024754349,0.8477959064517175,0.8805364741078137,0.6948674139235914
lightgbm,exact_hour_intensity,neighbor_grid,4,test,1,light,368032,0.15174495696026433,0.17141715937744545,0.39618304880561767,0.4475441832148549,0.4203003346393798,0.1913907289999182
lightgbm,exact_hour_intensity,neighbor_grid,4,test,2,moderate,368032,0.010202917137640205,0.050419528736631594,0.05130416037939211,0.2535286284953395,0.08533907041369727,0.09468397217557092
lightgbm,exact_hour_intensity,neighbor_grid,4,test,3,heavy,368032,0.0003804017041996348,0.0027850839057473264,0.0,0.0,0.0,0.01905788490091947
lightgbm,exact_hour_intensity,neighbor_grid,5,validation,0,no_rain,368032,0.731164681332058,0.5345785149117468,0.8900438137255898,0.6507402672691868,0.7518085841737615,0.4838712686887274
lightgbm,exact_hour_intensity,neighbor_grid,5,validation,1,light,368032,0.244777628032345,0.33241402921485086,0.4155502333679366,0.5643274204648892,0.4786442273743674,0.30320608955169875
